essay_id,score,score_bin,grade,ell,prompt_id,word_count,token_count,regime,half_life,delta_max,delta_128,delta_late,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,auc,log_slope,ratio_128_32,ratio_512_128,slope_early,slope_late
B01B2F50425E,2,low,6,non_ELL,"""A Cowboy Who Rode the Waves""",794,1078,extended,75.25941904469346,1.5492759733128176,1.1493675341185696,0.399908439194248,7.121745546860932,6.427107380587244,5.972378012742363,5.544531614883813,5.587268875225165,5.572469573548115,641.1319748109895,0.5600772597903939,0.6043655711977236,0.34793782434522214,0.8290934208158184,0.28629226552552833
2BC448B88B54,2,low,8,non_ELL,The Face on Mars,745,1007,extended,77.43734402303278,2.125257615313158,1.742334183094849,0.382923432218309,13.009820146585144,12.127827319922703,11.267485963490296,10.706446841944294,10.927929543088151,10.884562531271987,906.9300048785883,0.7824076657642693,0.506213351732437,0.2197761118008576,1.25682844276113,0.2517922444853331
09601E40B377,1,low,10,non_ELL,Car-free cities,522,804,extended,394.10450599172106,5.376980324187256,1.3538750006162008,4.023105323571055,14.708999329521918,13.959718842551972,13.355124328905717,12.386927703820056,12.250932434916788,9.33201900533466,1121.9219347809922,1.5489392919978244,0.5534340220691861,2.971548571131003,0.9766143746862678,2.4150708204967137
6D7E6399624E,2,low,10,non_ELL,Facial action coding system,742,903,extended,156.21063977341208,11.673201573377447,4.8424405483456,6.830761025031848,26.41898596078476,22.82670639181992,21.57654541243916,17.065746950227304,15.628753912761171,14.745784387407312,3962.75290814602,4.244146862231753,0.7418324568160426,1.4106029711331303,3.4930824824489153,4.97486649077083
64183B7D3207,2,low,10,non_ELL,Car-free cities,586,919,extended,121.7879092260538,1.774933699100511,0.9476592214440772,0.8272744776564336,9.003965716315635,8.676437774562665,8.056306494871558,7.367791371941647,7.285190093725736,7.229032017215125,649.7259789765843,0.7027411425838984,0.34561784905535115,0.8729662086713018,0.6835916296150332,0.6034533273884051
5B75C046C9CD,1,low,6,non_ELL,"""A Cowboy Who Rode the Waves""",637,789,extended,118.57197800112776,4.40320120955235,2.354202745336149,2.0489984642162007,22.027881060760254,20.709583513461048,19.67367831542411,18.99991473121969,18.440262436766776,17.624679851207908,1417.8814972863395,1.4698985581213457,0.5599762169638336,0.870357690422128,1.6981983129718208,1.4013383902537369
86A511A55117,2,low,12,ELL,Distance learning,697,871,extended,98.6990426885989,8.867909312986537,4.9030363307715845,3.9648729822149527,28.35658685876553,24.47813231331776,23.453550527993947,20.18905138215081,19.02182963783847,19.488677545778994,3464.6969672520518,3.284746102701396,0.791031165954551,0.8086566598194074,3.5367930998512924,3.1019036063933756
8A7B4B823C6E,2,low,10,non_ELL,Car-free cities,586,785,extended,180.102597760712,1.7600111791865896,0.8179550626515883,0.9420561165350012,9.444244121705983,8.987904917165572,8.626289059054395,8.473850067720122,8.285178688001555,7.684232942519394,485.6394977247911,0.5376771556238458,0.557902536920651,1.1517211147041635,0.590029856278734,0.5956146917632895
7A86EA9E70AC,1,low,10,non_ELL,Car-free cities,439,945,extended,97.83643115234833,1.5329294251612715,1.125581000379107,0.4073484247821648,8.682229728606275,8.318609043174831,7.556648728227168,7.291089946888827,7.129859839014108,7.149300303445004,600.3862900750557,0.5938475705738867,0.3230515487636812,0.36190058702569233,0.8119350636828883,0.3172163246809405
26432FDB0644,2,low,9,non_ELL,Summer projects,848,957,extended,109.40533397389376,4.363574139198457,2.397933912494148,1.9656402267043087,16.484693392272572,14.830703895120614,14.086759479778424,13.11358017774927,12.948947589405645,12.121119253074117,1472.9398505973827,1.4316380613797681,0.6897560806551187,0.8197224354109903,1.7297436819673886,1.3010314550301385
C278EDC82048,2,low,6,UNK,"""A Cowboy Who Rode the Waves""",1656,1860,extended,63.66851522716285,3.769940739562207,3.396207367273992,0.3737333722882145,4.772008241227125,2.867307266131892,1.375800873953133,1.00826942384752,1.0029128993292342,1.0020675016649183,1622.940533782375,1.310674669933595,0.56083176588362,0.11004433236012809,2.449845763298376,0.27421667623784174
