doc_id,mean_nll_0,mean_gain_128,rel_improve_128
ECSC_4045_1_94M_4045_YR1,4.220116252283896,1.5701440399692903,0.3720617978520236
ECSC_4020_1_95F_4020_YR1,3.895562721067859,1.461880324059917,0.37526807517533267
ECSC_4039_1_95F_4039_YR1,4.303954176748952,1.5578851239335154,0.3619660107790191
ECSC_4049_1_95F_4049_YR1,4.048469811101114,1.652269708533441,0.4081220277357217
ECSC_4023_1_95M_4023_YR1,4.368006546266617,1.5403305599766393,0.3526392517184244
ECSC_2027_1_100M_2027_YR1,4.575870021697014,1.7680283869466475,0.3863808147004477
ECSC_1015_1_102F_1015_YR1,4.443525837313745,1.832737439822766,0.412451172092366
ECSC_1015_2_102F_1015_YR2,4.620174863261562,1.9312241279309792,0.4179980596162225
ECSC_1015_3_102F_1015_YR3,4.2253561450589086,1.8092626883137612,0.42819176093108646
ECSC_1059_1_104F_1059_YR1,3.914933315400154,1.694092414263756,0.4327257395674437
ECSC_1059_2_104F_1059_YR2,4.135686966680712,1.8766347794763505,0.4537661565286531
ECSC_1059_3_104F_1059_YR3,4.64672734660487,1.7482174806056483,0.3762255347051905
