doc_id,target_idx,target_pos,target_pos_frac,pos_frac,pos_bin,I_512,I_256,age_months,age_group,task,token_count
ECSC_4077_1_123F_4077_YR1,18,272,0.8690095846645367,0.8690095846645367,late,,5.969776581178785,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,19,273,0.8722044728434505,0.8722044728434505,late,,4.908963852447227,123,10+yr,unknown,312
ECSC_4052_1_124M_4052_YR1,0,256,0.6918918918918919,0.6918918918918919,late,,15.080443261784543,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,1,259,0.7,0.7,late,,15.402530622981818,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,2,263,0.7108108108108108,0.7108108108108108,late,,24.36565735263352,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,3,267,0.7216216216216216,0.7216216216216216,late,,20.017976655860235,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,4,271,0.7324324324324324,0.7324324324324324,late,,29.32108014164307,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,5,275,0.7432432432432432,0.7432432432432432,late,,37.468792025419546,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,6,279,0.754054054054054,0.754054054054054,late,,49.51027106790597,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,7,283,0.7648648648648648,0.7648648648648648,late,,49.466169620883,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,8,287,0.7756756756756756,0.7756756756756756,late,,25.32690797582167,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,9,291,0.7864864864864864,0.7864864864864864,late,,14.205198353602952,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,10,294,0.7945945945945946,0.7945945945945946,late,,16.491534032567603,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,11,298,0.8054054054054054,0.8054054054054054,late,,15.95874798109395,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,12,302,0.8162162162162162,0.8162162162162162,late,,9.86399829592255,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,13,306,0.827027027027027,0.827027027027027,late,,7.943382443268245,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,14,310,0.8378378378378378,0.8378378378378378,late,,7.579903864137023,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,15,314,0.8486486486486486,0.8486486486486486,late,,5.8255369553280545,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,16,318,0.8594594594594595,0.8594594594594595,late,,7.276784514757082,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,17,322,0.8702702702702703,0.8702702702702703,late,,10.71945746363697,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,18,326,0.8810810810810811,0.8810810810810811,late,,8.318382896949,124,10+yr,unknown,369
ECSC_4052_1_124M_4052_YR1,19,330,0.8918918918918919,0.8918918918918919,late,,5.518815879692188,124,10+yr,unknown,369
ECSC_4065_1_125F_4065_YR1,0,256,0.6464646464646465,0.6464646464646465,mid,,1.0314534641577868,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,1,261,0.6590909090909091,0.6590909090909091,late,,0.1657710930901714,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,2,266,0.6717171717171717,0.6717171717171717,late,,0.2244560486763527,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,3,271,0.6843434343434344,0.6843434343434344,late,,0.101350710491606,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,4,277,0.6994949494949495,0.6994949494949495,late,,0.5790140002053414,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,5,282,0.7121212121212122,0.7121212121212122,late,,0.7246837991417667,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,6,287,0.7247474747474747,0.7247474747474747,late,,1.6824244319978536,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,7,292,0.7373737373737373,0.7373737373737373,late,,2.367568874854639,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,8,298,0.7525252525252525,0.7525252525252525,late,,3.7697834420737433,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,9,303,0.7651515151515151,0.7651515151515151,late,,2.4620094523878295,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,10,308,0.7777777777777778,0.7777777777777778,late,,2.7430401479856803,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,11,313,0.7904040404040404,0.7904040404040404,late,,2.278337918599151,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,12,319,0.8055555555555556,0.8055555555555556,late,,0.8915791916013385,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,13,324,0.8181818181818182,0.8181818181818182,late,,1.2380205312050734,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,14,329,0.8308080808080808,0.8308080808080808,late,,1.131674108014959,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,15,334,0.8434343434343434,0.8434343434343434,late,,1.2867341559564052,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,16,340,0.8585858585858586,0.8585858585858586,late,,2.2778539003253933,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,17,345,0.8712121212121212,0.8712121212121212,late,,4.228453772888362,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,18,350,0.8838383838383839,0.8838383838383839,late,,3.6491428872876233,125,10+yr,unknown,395
ECSC_4065_1_125F_4065_YR1,19,356,0.898989898989899,0.898989898989899,late,,3.5859595106019064,125,10+yr,unknown,395
ECSC_4043_1_126F_4043_YR1,0,256,0.5300207039337475,0.5300207039337475,mid,,2.495031099913835,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,1,265,0.5486542443064182,0.5486542443064182,mid,,3.5930440062743765,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,2,274,0.567287784679089,0.567287784679089,mid,,3.193173161390672,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,3,284,0.587991718426501,0.587991718426501,mid,,2.1214608242005397,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,4,293,0.6066252587991718,0.6066252587991718,mid,,1.7243626965368382,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,5,302,0.6252587991718427,0.6252587991718427,mid,,2.666649185519039,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,6,312,0.6459627329192547,0.6459627329192547,mid,,1.6405144912645753,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,7,321,0.6645962732919255,0.6645962732919255,late,,2.999129446569521,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,8,330,0.6832298136645962,0.6832298136645962,late,,3.3412004020379102,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,9,340,0.7039337474120083,0.7039337474120083,late,,0.0934537370871755,126,10+yr,unknown,482
ECSC_4043_1_126F_4043_YR1,10,349,0.722567287784679,0.722567287784679,late,,1.0693758355791072,126,10+yr,unknown,482
