doc_id,n_windows,token_count,mean_nll_0,mean_gain_0,mean_nll_2,mean_gain_2,mean_nll_4,mean_gain_4,mean_nll_8,mean_gain_8,mean_nll_12,mean_gain_12,mean_nll_16,mean_gain_16,mean_nll_24,mean_gain_24,mean_nll_32,mean_gain_32,mean_nll_48,mean_gain_48,mean_nll_64,mean_gain_64,mean_nll_96,mean_gain_96,mean_nll_128,mean_gain_128,early_ratio,log_slope_local,log_slope_r2,auc_log_k,auc_linear_k,baseline_nll,subject_id,age_months,age_group,sex,study_year,task
ECSC_1047_2_71F_1047_YR2,10,376,4.097841951923986,0.0,3.906515410542488,0.19132654138149757,3.656102353334427,0.4417395985895588,3.325573670864105,0.7722682810598804,3.0589420437812804,1.0388999081427053,2.8981338322162626,1.1997081197077228,2.682153654098511,1.415688297825475,2.6192765116691588,1.4785654402548267,2.494879424571991,1.6029625273519947,2.435978448390961,1.661863503533025,2.285778796672821,1.8120631552511646,2.239328902959824,1.8585130489641621,0.6455204177212408,0.4534343362059127,0.9680619779449844,4.451892505125833,198.47343929313843,2.239328902959824,1047,71,5yr,F,2,frog_where_are_you
ECSC_1047_3_71F_1047_YR3,10,599,4.178491284770351,0.0,3.9156954407691957,0.2627958440011547,3.536568784713745,0.6419225000566051,3.3430480122566224,0.835443272513728,3.1207295298576354,1.057761754912715,2.9973348915576934,1.181156393212657,2.7114209175109862,1.4670703672593641,2.6657917380332945,1.5126995467370556,2.5424037009477614,1.6360875838225888,2.4820551335811616,1.6964361511891888,2.348757356405258,1.829733928365092,2.3052955865859985,1.8731956981843516,0.630556857651086,0.4268365110175088,0.9708277466369741,4.709188331336348,202.41456100440797,2.3052955865859985,1047,71,5yr,F,3,one_frog_too_many
ECSC_2021_1_71F_2021_YR1,10,183,4.712551584551411,0.0,4.519839334487915,0.19271225006349627,4.215295267105103,0.49725631744630877,3.832453155517578,0.8800984290338331,3.6329479694366453,1.0796036151147657,3.483418083190918,1.2291335013604932,3.40524959564209,1.3073019889093214,3.364829349517822,1.347722235033589,3.3000046730041506,1.4125469115472609,3.1897045135498048,1.5228470710016064,3.141559600830078,1.570991983721333,3.154109573364258,1.5584420111871533,0.7886937675815046,0.3557076259089527,0.905096978691887,4.240213797854844,178.07778131577277,3.154109573364258,2021,71,5yr,F,1,
ECSC_2030_1_71F_2030_YR1,10,283,4.089437152493385,0.0,3.9202824354171755,0.16915471707620938,3.675683915615082,0.4137532368783029,3.2771583676338194,0.812278784859565,3.119552731513977,0.9698844209794075,2.996459221839905,1.0929779306534797,2.8193535685539244,1.27008358393946,2.73898663520813,1.3504505172852546,2.6461547017097473,1.4432824507836373,2.593743550777435,1.4956936017159492,2.5270538449287416,1.5623833075646432,2.4814725875854493,1.6079645649079353,0.6797276224280842,0.3837613556244356,0.9459259623730703,4.057408535296964,176.34502896531933,2.4814725875854493,2030,71,5yr,F,1,
ECSC_4084_1_71F_4084_YR1,10,544,4.059809031025056,0.0,3.87792486846447,0.18188416256058604,3.500309632718563,0.559499398306493,3.146875946223736,0.9129330848013201,3.0502759769558905,1.0095330540691652,2.915370535850525,1.144438495174531,2.790063555538654,1.2697454754864015,2.638699708133936,1.42110932289112,2.5873316802084445,1.4724773508166114,2.4915740855038164,1.5682349455212392,2.3971143513917923,1.6626946796332636,2.3707280933856962,1.6890809376393594,0.6775510099438962,0.38542746605047196,0.9531326216756879,4.329501323623797,185.23883878122416,2.3707280933856962,4084,71,5yr,F,1,
ECSC_1011_1_71M_1011_YR1,10,208,4.377748477074408,0.0,4.144382500648499,0.23336597642590928,3.7483329296112062,0.6294155474632017,3.4130695104599,0.9646789666145079,3.176877570152283,1.200870906922125,3.0621617078781127,1.315586769196295,2.9385730981826783,1.4391753788917296,2.885227990150452,1.4925204869239561,2.8113479375839234,1.5664005394904845,2.7214250326156617,1.6563234444587462,2.6243016600608824,1.7534468170135251,2.6274730920791627,1.7502753849952453,0.751645587017079,0.3864295606489608,0.9225384974128242,4.732816273382063,197.2632231820014,2.6274730920791627,1011,71,5yr,M,1,boy_dog_frog
ECSC_1011_2_71M_1011_YR2,10,268,4.348834007017074,0.0,4.104387652873993,0.24444635414308125,3.804281824827194,0.5445521821898799,3.437686389684677,0.9111476173323971,3.2369595527648927,1.1118744542521817,3.1252659142017363,1.2235680928153378,3.004198890924454,1.3446351160926207,2.925486367940903,1.4233476390761717,2.8389098405838014,1.509924166433273,2.773722505569458,1.5751115014476162,2.7380165070295335,1.6108174999875409,2.573514696955681,1.7753193100613935,0.6892101527206532,0.38065535412903645,0.9444173325042785,4.4643437800372645,187.30603035399992,2.573514696955681,1011,71,5yr,M,2,boy_dog_frog
ECSC_1011_3_71M_1011_YR3,10,418,4.415872687678184,0.0,4.241791397333145,0.1740812903450381,4.027282631397247,0.38859005628093596,3.6366042137145995,0.7792684739635837,3.366803753376007,1.0490689343021762,3.1724564164876936,1.2434162711904895,3.0589249789714814,1.356947708706702,2.9462967067956924,1.4695759808824909,2.752353447675705,1.6635192400024785,2.7272690296173097,1.6886036580608739,2.5081126213073732,1.9077600663708103,2.4604302048683167,1.9554424828098669,0.6358746330415029,0.4849524333584308,0.9775399607264809,4.48345201697864,204.2564709323068,2.4604302048683167,1011,71,5yr,M,3,frog_where_are_you
ECSC_1083_1_71M_1083_YR1,10,377,4.748703058304326,0.0,4.642428135871887,0.10627492243243805,4.3051365345716475,0.44356652373267763,3.9805014431476593,0.768201615156666,3.8433492124080657,0.9053538458962596,3.718122589588165,1.0305804687161602,3.6306348532438277,1.1180682050604975,3.501563259959221,1.2471397983451045,3.3350521296262743,1.4136509286780512,3.286409060657024,1.462293997647301,3.1765200942754745,1.5721829640288507,3.1784874588251113,1.570215599479214,0.6563305504403141,0.3853361777239526,0.9651406420819633,3.852557668798602,171.4779525361715,3.1784874588251113,1083,71,5yr,M,1,frog_where_are_you
ECSC_1083_2_71M_1083_YR2,10,257,3.920463143625567,0.0,3.79175124168396,0.12871190194160712,3.4786409020423887,0.4418222415831782,3.0991743683815,0.8212887752440668,2.8837120652198793,1.036751078405688,2.7557425260543824,1.1647206175711848,2.57785484790802,1.3426082957175471,2.4937366247177124,1.4267265189078546,2.4113147258758545,1.5091484177497125,2.3593834161758425,1.5610797274497248,2.3450172781944274,1.5754458654311396,2.3339427947998046,1.5865203488257624,0.7341353159656818,0.39083461130084524,0.9113161348076552,4.185094500410047,181.27583965909096,2.3339427947998046,1083,71,5yr,M,2,boy_dog_frog
