target_idx,target_pos,target_pos_frac,I_512,I_256,doc_id,age_months,age_group
2,291,0.4442748091603053,,9.53279389873939,ECSC_4046_1_132F_4046_YR1,132,10+yr
3,308,0.47022900763358777,,7.939868145554046,ECSC_4046_1_132F_4046_YR1,132,10+yr
4,326,0.49770992366412214,,2.4625032116886523,ECSC_4046_1_132F_4046_YR1,132,10+yr
5,343,0.5236641221374045,,4.123650053012862,ECSC_4046_1_132F_4046_YR1,132,10+yr
6,361,0.5511450381679389,,2.771958342973038,ECSC_4046_1_132F_4046_YR1,132,10+yr
7,378,0.5770992366412214,,6.137212169695154,ECSC_4046_1_132F_4046_YR1,132,10+yr
8,396,0.6045801526717557,,5.18853678343452,ECSC_4046_1_132F_4046_YR1,132,10+yr
9,413,0.6305343511450382,,1.4956562541464429,ECSC_4046_1_132F_4046_YR1,132,10+yr
10,431,0.6580152671755726,,6.412038128570045,ECSC_4046_1_132F_4046_YR1,132,10+yr
11,448,0.683969465648855,,7.641507523127628,ECSC_4046_1_132F_4046_YR1,132,10+yr
12,466,0.7114503816793893,,3.4050638805489175,ECSC_4046_1_132F_4046_YR1,132,10+yr
13,483,0.7374045801526717,,4.597347493241257,ECSC_4046_1_132F_4046_YR1,132,10+yr
14,501,0.7648854961832061,,12.35386932104613,ECSC_4046_1_132F_4046_YR1,132,10+yr
15,518,0.7908396946564885,,17.77647984710299,ECSC_4046_1_132F_4046_YR1,132,10+yr
16,536,0.8183206106870229,23.66416630378619,20.765489807516875,ECSC_4046_1_132F_4046_YR1,132,10+yr
17,553,0.8442748091603054,,10.080336047558205,ECSC_4046_1_132F_4046_YR1,132,10+yr
18,571,0.8717557251908397,,7.707366502805337,ECSC_4046_1_132F_4046_YR1,132,10+yr
19,589,0.899236641221374,9.92548851985162,8.480893872403374,ECSC_4046_1_132F_4046_YR1,132,10+yr
0,256,0.5311203319502075,,2.1814285408018463,ECSC_4063_1_132F_4063_YR1,132,10+yr
1,265,0.549792531120332,,1.5609181349524714,ECSC_4063_1_132F_4063_YR1,132,10+yr
2,274,0.5684647302904564,,1.8785831726904911,ECSC_4063_1_132F_4063_YR1,132,10+yr
3,283,0.5871369294605809,,2.6095610164808227,ECSC_4063_1_132F_4063_YR1,132,10+yr
4,293,0.6078838174273858,,1.1098654477852588,ECSC_4063_1_132F_4063_YR1,132,10+yr
5,302,0.6265560165975104,,1.653221603287471,ECSC_4063_1_132F_4063_YR1,132,10+yr
6,311,0.6452282157676349,,1.9076620266418098,ECSC_4063_1_132F_4063_YR1,132,10+yr
7,321,0.6659751037344398,,1.4611004806953032,ECSC_4063_1_132F_4063_YR1,132,10+yr
8,330,0.6846473029045643,,2.3717307291047325,ECSC_4063_1_132F_4063_YR1,132,10+yr
9,339,0.7033195020746889,,2.0072237772684938,ECSC_4063_1_132F_4063_YR1,132,10+yr
10,349,0.7240663900414938,,3.9374974324311864,ECSC_4063_1_132F_4063_YR1,132,10+yr
11,358,0.7427385892116183,,5.201418714649618,ECSC_4063_1_132F_4063_YR1,132,10+yr
12,367,0.7614107883817427,,3.652674488394295,ECSC_4063_1_132F_4063_YR1,132,10+yr
13,377,0.7821576763485477,,1.7967835518750777,ECSC_4063_1_132F_4063_YR1,132,10+yr
14,386,0.8008298755186722,,1.2317993141623123,ECSC_4063_1_132F_4063_YR1,132,10+yr
15,395,0.8195020746887967,,2.1190557021593386,ECSC_4063_1_132F_4063_YR1,132,10+yr
16,405,0.8402489626556017,,2.1750426904155216,ECSC_4063_1_132F_4063_YR1,132,10+yr
17,414,0.8589211618257261,,2.1518088652395617,ECSC_4063_1_132F_4063_YR1,132,10+yr
18,423,0.8775933609958506,,1.8550882794127936,ECSC_4063_1_132F_4063_YR1,132,10+yr
19,433,0.8983402489626556,,1.2664528283952725,ECSC_4063_1_132F_4063_YR1,132,10+yr
0,256,0.6649350649350649,,1.8833166114522122,ECSC_4087_1_132M_4087_YR1,132,10+yr
1,260,0.6753246753246753,,3.315325179989653,ECSC_4087_1_132M_4087_YR1,132,10+yr
2,265,0.6883116883116883,,5.423085697951109,ECSC_4087_1_132M_4087_YR1,132,10+yr
