doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256
ECSC_1059_1_104F_1059_YR1,104,8-10yr,722,649,0.8988919667590027,12.019822125252267,6.113842297567329,0.09982740415467076,27.222135803617977,0.2775563463969646,31,31,9.239792673992733,0.12257525637896842,12.506394795123832,15
ECSC_4015_1_104F_4015_YR1,104,8-10yr,805,724,0.8993788819875776,1.8966085494278762,6.72944326979314,0.5511825092227564,4.419788957813921,0.8863379289418211,10,31,4.868896186124895,0.4715643080652773,5.798604421733722,15
ECSC_1022_1_106M_1022_YR1,106,8-10yr,661,576,0.8714069591527988,3.3665373367681752,10.691253418790996,0.13211298782098385,25.038983620237804,0.3309599866248952,31,31,10.330979248107091,0.2767722695735383,11.064417506191996,15
ECSC_4007_1_107M_4007_YR1,107,8-10yr,602,541,0.8986710963455149,2.94867060298679,4.279848482363188,0.2905316178389556,15.329775470222932,0.5790525821993463,29,31,7.761936841537779,0.32821135014290886,7.235506416179073,15
ECSC_4062_1_96F_4062_YR1,96,8-10yr,683,576,0.8433382137628112,7.206463615087236,5.55899443211654,0.2828461031707611,16.1084157180609,0.5524020772958408,31,31,10.873938593399624,0.16516431963021724,12.552304690991328,15
ECSC_1006_2_97F_1006_YR2,97,8-10yr,656,590,0.899390243902439,5.163795644753531,5.810245742967752,0.16731344731777936,22.928775602638073,0.3820455862918491,31,31,9.354181019463773,0.13063018400801477,13.772743159481072,15
ECSC_1099_1_97F_1099_YR1,97,8-10yr,848,736,0.8679245283018868,9.854029551244942,19.850789026892045,0.18636584431399125,17.03930610921071,0.5806538845348873,29,31,6.6108085111393065,0.16860350405853325,12.039381511336613,15
ECSC_1099_2_97F_1099_YR2,97,8-10yr,872,784,0.8990825688073395,7.652549866007334,9.211078900155908,0.11931926859143326,19.062567651202297,0.5288008580236412,27,31,8.944691148153659,0.14986680802270963,11.298492194786677,15
ECSC_1099_3_97F_1099_YR3,97,8-10yr,819,559,0.6825396825396826,5.80797934756859,9.83804809216485,0.7011326181680154,3.430929151207778,0.8944124009836116,15,31,19.110747442835635,0.4936302328695157,5.980460344648166,15
ECSC_1056_1_97M_1056_YR1,97,8-10yr,767,530,0.6910039113428944,5.909032752561732,10.437654220974133,0.14360598514860093,24.949963781218884,0.32908409730325616,30,31,11.412990170419967,0.2391696267490845,10.115618190449156,15
ECSC_4042_1_98F_4042_YR1,98,8-10yr,745,561,0.7530201342281879,5.265100440147697,9.931703145720153,0.2931881028166388,13.644159125077802,0.6052243331905959,31,31,5.706891457142794,0.3100246529811706,7.632569912797856,15
ECSC_1091_1_98M_1091_YR1,98,8-10yr,1213,1091,0.8994229183841714,20.007740503047632,17.20962905572017,0.38345960400881196,6.601977569848013,0.8383913639853331,14,31,21.927028184916747,0.29409201781900673,6.444284213307602,15
ECSC_1091_2_98M_1091_YR2,98,8-10yr,598,538,0.8996655518394648,11.303414027057869,17.654198618076776,0.08127037945754906,27.550937267085462,0.27013406548570096,31,31,18.21495934474936,0.4053103372946638,6.3094292302636426,15
ECSC_1010_1_99M_1010_YR1,99,8-10yr,839,755,0.899880810488677,10.040826427101036,15.782221258909633,0.3641327590719472,7.81247349484016,0.8021888253562436,13,31,10.794104983428754,0.26129440099088497,10.305484552285902,15
ECSC_1010_3_99M_1010_YR3,99,8-10yr,606,529,0.8729372937293729,5.824272576562363,7.458803221233173,0.29137080704594076,10.018896366310791,0.7483931397657839,20,31,10.506705897540856,0.32735687848731226,6.864579687770698,15
ECSC_3003_1_108F_3003_YR1,108,8-10yr,775,580,0.7483870967741936,21.689606306759543,10.35948125720332,0.31902247332959316,5.751268632925623,0.8519616150264019,12,31,14.696600397278957,0.4301944898306513,3.6753897375794735,15
ECSC_2023_1_111M_2023_YR1,111,8-10yr,574,516,0.8989547038327527,11.783529920843357,9.341355362512887,0.09132175011104414,25.994535946195985,0.32117848442297964,31,31,16.223275771053864,0.1375001811358075,13.22470115875551,15
ECSC_4044_1_113M_4044_YR1,113,8-10yr,735,661,0.8993197278911564,8.816998086236666,13.176912454980188,0.578350203257572,6.873025298990756,0.7531391570674624,28,31,15.141306586467174,0.5816867582803992,5.131654929165831,15
ECSC_4060_1_115F_4060_YR1,115,8-10yr,616,554,0.8993506493506493,7.623027161730095,4.987538098117991,0.3643447099500198,7.763600887057832,0.7925386364138767,21,31,5.587732239016464,0.2574582100131944,8.21889003000892,15
