essay_id,window_idx,target_start,k,nll_k,gain_k
B7C17E1993BA,10,458,16,2.004901736974716,1.1494503896082602
B7C17E1993BA,10,458,24,1.9619531035423279,1.1923990230406485
B7C17E1993BA,10,458,32,2.006305679678917,1.1480464469040594
B7C17E1993BA,10,458,48,1.9131216406822205,1.241230485900756
B7C17E1993BA,10,458,64,1.998289406299591,1.1560627202833853
B7C17E1993BA,10,458,96,1.967207908630371,1.1871442179526053
B7C17E1993BA,10,458,128,1.9949151277542114,1.159436998828765
B7C17E1993BA,11,499,0,3.1985800958448842,0.0
B7C17E1993BA,11,499,2,2.863505005836487,0.3350750900083974
B7C17E1993BA,11,499,4,2.9139976501464844,0.28458244569839986
B7C17E1993BA,11,499,8,2.468545913696289,0.7300341821485952
B7C17E1993BA,11,499,12,2.3391374349594116,0.8594426608854726
B7C17E1993BA,11,499,16,2.1508454084396362,1.047734687405248
B7C17E1993BA,11,499,24,2.223337411880493,0.9752426839643911
B7C17E1993BA,11,499,32,2.1386762261390686,1.0599038697058156
B7C17E1993BA,11,499,48,2.1177494525909424,1.0808306432539418
B7C17E1993BA,11,499,64,2.0647847056388855,1.1337953902059987
B7C17E1993BA,11,499,96,2.081879138946533,1.116700956898351
B7C17E1993BA,11,499,128,2.0140185356140137,1.1845615602308706
B7C17E1993BA,12,530,0,3.2808392432428177,0.0
B7C17E1993BA,12,530,2,3.6982789039611816,-0.4174396607183639
B7C17E1993BA,12,530,4,3.6241047382354736,-0.3432654949926559
B7C17E1993BA,12,530,8,3.2315561771392822,0.0492830661035355
B7C17E1993BA,12,530,12,3.166471481323242,0.11436776191957554
B7C17E1993BA,12,530,16,3.086604595184326,0.19423464805849155
B7C17E1993BA,12,530,24,2.892198920249939,0.38864032299287876
B7C17E1993BA,12,530,32,2.9074783325195312,0.3733609107232865
B7C17E1993BA,12,530,48,2.635003089904785,0.6458361533380326
B7C17E1993BA,12,530,64,2.6834187507629395,0.5974204924798783
B7C17E1993BA,12,530,96,2.6004838943481445,0.6803553488946732
B7C17E1993BA,12,530,128,2.605196952819824,0.6756422904229935
B7C17E1993BA,13,557,0,3.154472966347971,0.0
B7C17E1993BA,13,557,2,2.633375719189644,0.5210972471583273
B7C17E1993BA,13,557,4,2.4793189465999603,0.6751540197480108
B7C17E1993BA,13,557,8,2.198571026325226,0.9559019400227453
B7C17E1993BA,13,557,12,2.1921216249465942,0.9623513414013769
B7C17E1993BA,13,557,16,2.1000440418720245,1.0544289244759466
B7C17E1993BA,13,557,24,1.9977083206176758,1.1567646457302954
B7C17E1993BA,13,557,32,1.9729547500610352,1.181518216286936
B7C17E1993BA,13,557,48,1.9720487594604492,1.182424206887522
B7C17E1993BA,13,557,64,1.9804935455322266,1.1739794208157446
B7C17E1993BA,13,557,96,2.017299175262451,1.13717379108552
B7C17E1993BA,13,557,128,2.014617919921875,1.1398550464260961
B7C17E1993BA,14,590,0,3.8604204731602825,0.0
B7C17E1993BA,14,590,2,3.4696768522262573,0.39074362093402515
B7C17E1993BA,14,590,4,3.377208173274994,0.4832122998852886
B7C17E1993BA,14,590,8,2.978673130273819,0.8817473428864635
B7C17E1993BA,14,590,12,2.5278830528259277,1.3325374203343547
B7C17E1993BA,14,590,16,2.534876227378845,1.3255442457814373
B7C17E1993BA,14,590,24,2.460334062576294,1.4000864105839885
B7C17E1993BA,14,590,32,2.422321617603302,1.4380988555569805
B7C17E1993BA,14,590,48,2.3269978165626526,1.5334226565976299
B7C17E1993BA,14,590,64,2.273639440536499,1.5867810326237834
B7C17E1993BA,14,590,96,2.18784761428833,1.6725728588719524
B7C17E1993BA,14,590,128,2.2019453048706055,1.658475168289677
B7C17E1993BA,15,625,0,3.632538826234879,0.0
B7C17E1993BA,15,625,2,3.3798351287841797,0.2527036974506993
B7C17E1993BA,15,625,4,3.363656997680664,0.26888182855421494
B7C17E1993BA,15,625,8,2.6196252703666687,1.0129135558682103
B7C17E1993BA,15,625,12,2.59798264503479,1.034556181200089
B7C17E1993BA,15,625,16,2.4511899948120117,1.1813488314228673
B7C17E1993BA,15,625,24,2.4376487731933594,1.1948900530415196
B7C17E1993BA,15,625,32,2.489889144897461,1.142649681337418
B7C17E1993BA,15,625,48,2.315673828125,1.316864998109879
B7C17E1993BA,15,625,64,2.267735242843628,1.364803583391251
B7C17E1993BA,15,625,96,2.2760462760925293,1.3564925501423497
B7C17E1993BA,15,625,128,2.363088846206665,1.269449980028214
B7C17E1993BA,16,660,0,4.142815805250598,0.0
B7C17E1993BA,16,660,2,3.9694114923477173,0.17340431290288105
B7C17E1993BA,16,660,4,3.689865827560425,0.45294997769017353
B7C17E1993BA,16,660,8,3.5719645023345947,0.5708513029160036
B7C17E1993BA,16,660,12,3.562202215194702,0.5806135900558962
B7C17E1993BA,16,660,16,3.619129776954651,0.5236860282959475
B7C17E1993BA,16,660,24,3.363323450088501,0.7794923551620974
B7C17E1993BA,16,660,32,3.329669713973999,0.8131460912765993
B7C17E1993BA,16,660,48,3.3256168365478516,0.8171989687027468
B7C17E1993BA,16,660,64,3.321345806121826,0.8214699991287722
B7C17E1993BA,16,660,96,3.3204431533813477,0.8223726518692507
B7C17E1993BA,16,660,128,3.274599552154541,0.8682162530960573
B7C17E1993BA,17,694,0,3.135989281439012,0.0
B7C17E1993BA,17,694,2,2.914203643798828,0.22178563764018389
B7C17E1993BA,17,694,4,2.702916145324707,0.433073136114305
B7C17E1993BA,17,694,8,2.7528090476989746,0.3831802337400374
B7C17E1993BA,17,694,12,2.7613120079040527,0.3746772735349593
B7C17E1993BA,17,694,16,2.7779579162597656,0.3580313651792464
B7C17E1993BA,17,694,24,2.6662116050720215,0.4697776763669905
B7C17E1993BA,17,694,32,2.607234001159668,0.528755280279344
B7C17E1993BA,17,694,48,2.4903860092163086,0.6456032722227034
B7C17E1993BA,17,694,64,2.3088910579681396,0.8270982234708724
B7C17E1993BA,17,694,96,2.2445483207702637,0.8914409606687483
B7C17E1993BA,17,694,128,2.2306017875671387,0.9053874938718733
B7C17E1993BA,18,732,0,3.097509568737399,0.0
B7C17E1993BA,18,732,2,3.015921115875244,0.08158845286215488
B7C17E1993BA,18,732,4,2.747154116630554,0.3503554521068448
B7C17E1993BA,18,732,8,2.499695658683777,0.5978139100536222
B7C17E1993BA,18,732,12,2.198733329772949,0.8987762389644498
B7C17E1993BA,18,732,16,1.9381552934646606,1.1593542752727384
B7C17E1993BA,18,732,24,1.7849271297454834,1.3125824389919156
B7C17E1993BA,18,732,32,1.7486069202423096,1.3489026484950895
B7C17E1993BA,18,732,48,1.7655261158943176,1.3319834528430814
B7C17E1993BA,18,732,64,1.7398201823234558,1.3576893864139432
B7C17E1993BA,18,732,96,1.735186219215393,1.362323349522006
B7C17E1993BA,18,732,128,1.7542015314102173,1.3433080373271817
B7C17E1993BA,19,763,0,4.044215048513105,0.0
B7C17E1993BA,19,763,2,4.042095184326172,0.002119864186933107
B7C17E1993BA,19,763,4,3.866621971130371,0.1775930773827339
B7C17E1993BA,19,763,8,3.690432548522949,0.35378249999015576
B7C17E1993BA,19,763,12,3.694681167602539,0.3495338809105659
B7C17E1993BA,19,763,16,3.6891298294067383,0.3550852191063667
B7C17E1993BA,19,763,24,3.6108193397521973,0.4333957087609077
B7C17E1993BA,19,763,32,3.598982810974121,0.4452322375389839
B7C17E1993BA,19,763,48,3.470587968826294,0.573627079686811
B7C17E1993BA,19,763,64,3.35727322101593,0.6869418274971748
B7C17E1993BA,19,763,96,3.4804155230522156,0.5637995254608894
B7C17E1993BA,19,763,128,3.290598452091217,0.7536165964218879
FFBA3014CDC7,0,128,0,3.3107212435814644,0.0
FFBA3014CDC7,0,128,2,3.213834524154663,0.09688671942680127
FFBA3014CDC7,0,128,4,3.151843309402466,0.15887793417899854
FFBA3014CDC7,0,128,8,2.689094662666321,0.6216265809151436
FFBA3014CDC7,0,128,12,2.6005902886390686,0.7101309549423958
FFBA3014CDC7,0,128,16,2.559362381696701,0.7513588618847633
FFBA3014CDC7,0,128,24,2.425804316997528,0.8849169265839363
FFBA3014CDC7,0,128,32,2.3926904797554016,0.9180307638260627
FFBA3014CDC7,0,128,48,2.2353707551956177,1.0753504883858467
FFBA3014CDC7,0,128,64,2.195521593093872,1.1151996504875923
FFBA3014CDC7,0,128,96,2.2052770853042603,1.105444158277204
FFBA3014CDC7,0,128,128,2.198920249938965,1.1118009936424995
FFBA3014CDC7,1,170,0,3.006071521389869,0.0
FFBA3014CDC7,1,170,2,2.8045934438705444,0.20147807751932456
FFBA3014CDC7,1,170,4,2.3710458278656006,0.6350256935242684
FFBA3014CDC7,1,170,8,2.2831840813159943,0.7228874400738747
FFBA3014CDC7,1,170,12,2.0535015612840652,0.9525699601058037
FFBA3014CDC7,1,170,16,1.9587257504463196,1.0473457709435494
FFBA3014CDC7,1,170,24,1.7918137572705746,1.2142577641192944
FFBA3014CDC7,1,170,32,1.7907724268734455,1.2152990945164235
FFBA3014CDC7,1,170,48,1.6478578224778175,1.3582136989120515
FFBA3014CDC7,1,170,64,1.7043692730367184,1.3017022483531506
FFBA3014CDC7,1,170,96,1.6591403633356094,1.3469311580542596
FFBA3014CDC7,1,170,128,1.6634399592876434,1.3426315621022256
FFBA3014CDC7,2,205,0,4.111891223538306,0.0
FFBA3014CDC7,2,205,2,4.228549957275391,-0.11665873373708457
FFBA3014CDC7,2,205,4,3.923614501953125,0.18827672158518105
FFBA3014CDC7,2,205,8,3.6498641967773438,0.4620270267609623
FFBA3014CDC7,2,205,12,3.6369895935058594,0.4749016300324467
FFBA3014CDC7,2,205,16,3.5809669494628906,0.5309242740754154
FFBA3014CDC7,2,205,24,3.6923599243164062,0.4195312992218998
FFBA3014CDC7,2,205,32,3.5458717346191406,0.5660194889191654
FFBA3014CDC7,2,205,48,3.4860992431640625,0.6257919803742436
FFBA3014CDC7,2,205,64,3.3603439331054688,0.7515472904328373
FFBA3014CDC7,2,205,96,3.252735137939453,0.8591560855988529
FFBA3014CDC7,2,205,128,2.858962059020996,1.25292916451731
FFBA3014CDC7,3,252,0,2.9513145569832093,0.0
FFBA3014CDC7,3,252,2,2.6406643092632294,0.31065024771997996
FFBA3014CDC7,3,252,4,2.677497982978821,0.2738165740043885
FFBA3014CDC7,3,252,8,2.7275607585906982,0.22375379839251108
FFBA3014CDC7,3,252,12,2.6954898834228516,0.25582467356035776
FFBA3014CDC7,3,252,16,2.7438879013061523,0.20742665567705698
FFBA3014CDC7,3,252,24,2.626794695854187,0.3245198611290223
FFBA3014CDC7,3,252,32,2.5743303298950195,0.3769842270881898
FFBA3014CDC7,3,252,48,2.536753326654434,0.4145612303287751
FFBA3014CDC7,3,252,64,2.4971537590026855,0.4541607979805238
FFBA3014CDC7,3,252,96,2.4324551820755005,0.5188593749077088
FFBA3014CDC7,3,252,128,2.466200292110443,0.4851142648727662
FFBA3014CDC7,4,290,0,2.2141029604019655,0.0
FFBA3014CDC7,4,290,2,1.8897731304168701,0.3243298299850954
FFBA3014CDC7,4,290,4,1.7021417617797852,0.5119611986221804
FFBA3014CDC7,4,290,8,1.6728291511535645,0.5412738092484011
FFBA3014CDC7,4,290,12,1.6432915925979614,0.5708113678040041
FFBA3014CDC7,4,290,16,1.6099818348884583,0.6041211255135073
FFBA3014CDC7,4,290,24,1.5174453258514404,0.6966576345505251
FFBA3014CDC7,4,290,32,1.5211777687072754,0.6929251916946901
FFBA3014CDC7,4,290,48,1.4590498208999634,0.7550531395020021
FFBA3014CDC7,4,290,64,1.390498161315918,0.8236047990860476
FFBA3014CDC7,4,290,96,1.3889133930206299,0.8251895673813356
FFBA3014CDC7,4,290,128,1.4119482040405273,0.8021547563614382
FFBA3014CDC7,5,327,0,4.081170851184476,0.0
FFBA3014CDC7,5,327,2,3.8515663146972656,0.22960453648721035
