span_size,score_bin,span_label,score_region,n,delta_nll_mean,delta_nll_sem,delta_nll_ci95,delta_nll_per_token_mean,delta_nll_normalized_mean,rank_displacement_mean,rank_displacement_median,baseline_nll_mean,ablated_nll_mean,flip_rate_mean,topk_change_mean
128,low,random,score_early,50,0.0697983309049455,0.015180766678309494,0.029754302689486607,0.0005452994601948867,0.10667314538911249,4.838444444444443,0.0,2.335830642987811,2.4056289738927568,0.08717460317460317,0.1645985141940471
128,low,random,score_mid,50,0.04373673941218664,0.01187181456915171,0.02326875655553735,0.00034169327665770815,0.16904347159369162,1.456380952380952,0.0,2.2911781765922665,2.334914916004453,0.07349206349206348,0.1401481213022566
128,low,random,score_late,50,0.0224618528396126,0.0032046798347274514,0.006281172476065805,0.00017548322530947343,0.16830347194181552,0.679716535433071,0.0,2.4548022527582063,2.477264105597819,0.0652755905511811,0.1172876563858256
128,mid,early,score_early,50,0.029151076059492822,0.007536862452517267,0.014772250406933843,0.00022774278171478767,0.051914466603690326,-0.46603174603174596,0.0,2.2487975506555467,2.2779486267150393,0.08317460317460316,0.14361429316611388
128,mid,early,score_mid,50,0.019596102389078277,0.007069865760816412,0.013856936891200168,0.00015309454991467404,0.10416481420480843,-0.03174603174603153,0.0,2.089116217598082,2.108712319987161,0.06000000000000001,0.11842586607292485
128,mid,early,score_late,50,0.0437236435394588,0.008048198460410152,0.015774468982403898,0.00034159096515202185,0.24647109691534397,0.6483464566929132,0.0,2.0901835939452407,2.1339072374846992,0.07023622047244095,0.12897391875951636
128,mid,early_mid,score_early,50,0.047192089860401486,0.0126366209886892,0.02476777713783083,0.0003686882020343866,0.08428954032506074,1.4041269841269846,0.0,2.2487975506555467,2.295989640515948,0.08476190476190475,0.14495219014826857
128,mid,early_mid,score_mid,50,0.04203108639944166,0.011233304600880498,0.022017277017725774,0.000328367862495638,0.16048867661923313,0.28095238095238095,0.0,2.089116217598082,2.1311473039975244,0.07428571428571427,0.13282907568621855
128,mid,early_mid,score_late,50,0.032026292057487936,0.005327254041968066,0.010441417922257409,0.0002502054066991245,0.20338806894573463,1.4483464566929134,0.0,2.0901835939452407,2.122209886002728,0.07023622047244095,0.1225112425529285
128,mid,late,score_early,50,0.037803932295905215,0.009676745249113449,0.01896642068826236,0.0002953432210617595,0.08338210270442235,1.2177777777777776,0.0,2.2487975506555467,2.2866014829514523,0.0968253968253968,0.14867974177497983
128,mid,late,score_mid,50,0.039814188442533,0.006652257572382707,0.013038424841870106,0.00031104834720728904,0.21555055383597657,0.44603174603174606,0.0,2.089116217598082,2.1289304060406153,0.08095238095238093,0.13364454872858234
128,mid,late,score_late,50,0.02719417555125682,0.004242432823384602,0.00831516833383382,0.0002124544964941939,0.1838948736917477,0.3475590551181099,0.0,2.0901835939452407,2.117377769496497,0.06866141732283464,0.1206615244155772
128,mid,immediate_pre_target,score_early,50,0.34303826207206356,0.02561201402567246,0.05019954749031802,0.0026799864224379966,0.6867067548641609,18.935238095238095,0.0,2.2487975506555467,2.5918358127276098,0.23777777777777778,0.30310706449730485
