essay_id,score,grade,ell,prompt_id,word_count,token_count,regime,burn_in_used,half_life,half_life_128,delta_max,delta_128,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,score_bin,length_bin
876A650B692E,5,11,non_ELL,Distance learning,648,735,main,384,97.47212271520819,90.55531827381711,1.0264523014120606,0.8664087489831847,11.252304521925613,11.12632348361717,10.385895772942428,10.228549834497775,10.225852220513552,,high,7
B962DFFBD558,5,8,non_ELL,Seeking multiple opinions,591,734,main,384,188.30863638376613,59.53701762916269,2.8070257920633015,1.228458501990561,11.577368413346418,10.863589735620865,10.348909911355857,9.977371707529198,8.770342621283117,,high,7
54D5DB28F38D,5,8,non_ELL,The Face on Mars,566,732,main,384,91.07968392324943,70.96392966302432,8.333779719067408,6.160917758085475,22.670876429633132,19.96653215380115,16.509958671547658,14.865888765322602,14.337096710565724,,high,7
27C714014E17,5,10,non_ELL,Distance learning,608,697,main,384,113.55762702127798,68.97965890474865,3.8216347234306127,2.1771994797448144,20.610619471897564,19.613866971261103,18.43341999215275,17.40130242818605,16.78898474846695,,high,7
C25E3A9AA408,1,12,ELL,Distance learning,382,467,short,128,54.20289759107086,54.20289759107086,6.60291935298828,6.60291935298828,43.48625064713111,38.728010907724325,36.88333129414283,,,,low,2
8726B24BA724,4,8,non_ELL,Grades for extracurricular activities,402,483,short,128,81.5509218990035,81.5509218990035,0.9958427080252648,0.9958427080252648,10.107385660026702,9.797605366147065,9.111542952001438,,,,mid,2
F3A94AC4FD8E,5,11,non_ELL,Summer projects,403,470,short,128,77.03625797776472,77.03625797776472,1.649163183118258,1.649163183118258,12.75429797921005,12.140640035027337,11.105134796091791,,,,high,2
2B4A794ED0D8,2,9,non_ELL,Does the electoral college work?,479,663,main,384,264.22845698941745,82.92279472815795,1.757643534031791,0.6348913556047364,15.883121331618904,15.698935011005378,15.248229976014168,15.064675735181485,14.125477797587113,,low,6
3D7740BCAA23,1,9,non_ELL,Does the electoral college work?,489,632,short,128,49.78952473449694,49.78952473449694,0.8889177644311257,0.8889177644311257,16.496274362235216,15.696776655401159,15.60735659780409,,,,low,6
F33EB52BBB43,2,9,non_ELL,Does the electoral college work?,500,663,main,384,299.7178433165884,44.933874956014236,2.1280801571483323,0.26593622805219574,13.89692329561717,13.56794380081723,13.630987067564975,13.384809499760346,11.768843138468839,,low,6
3DC3405DF531,2,11,ELL,Distance learning,606,652,main,384,162.24289254062109,101.75716145158451,2.5782521268233047,0.8865488227508536,21.82630732567701,22.0207986608225,20.939758502926157,19.4349239816177,19.248055198853706,,low,6
49EC678EC9BB,2,9,non_ELL,Does the electoral college work?,478,619,short,128,93.87111540002435,93.87111540002435,0.5005440262967387,0.5005440262967387,8.926780263406178,8.89555743026402,8.426236237109439,,,,low,6
915D19B0AB77,1,9,ELL,Does the electoral college work?,466,633,short,128,85.5187324811559,85.5187324811559,0.6646395237125251,0.6646395237125251,7.185388262943831,7.021403875035961,6.520748739231306,,,,low,6
2BB14634D9FE,1,8,non_ELL,The Face on Mars,419,636,short,128,60.899037137841745,60.899037137841745,0.2787099197473104,0.2787099197473104,6.903667304183752,6.749359093336213,6.624957384436442,,,,low,6
14EE006078C4,2,11,ELL,Distance learning,536,619,short,128,55.56450645894257,55.56450645894257,3.4345101861040916,3.4345101861040916,21.04219103988299,18.71020233163608,17.6076808537789,,,,low,6
BF3728CF3A98,2,10,non_ELL,Car-free cities,470,616,short,128,84.37398768782543,84.37398768782543,1.0220801101009656,1.0220801101009656,13.523713854966706,13.251337001931562,12.50163374486574,,,,low,6
C50FE04C4D29,1,6,non_ELL,"""A Cowboy Who Rode the Waves""",559,656,main,384,107.93466188093944,77.66799765505816,5.407673267434278,3.376966830313677,15.694172980608174,14.46420872391449,12.317206150294497,11.063762539698347,10.286499713173896,,low,6
5AC16E188F1B,4,12,ELL,Distance learning,546,618,short,128,74.96138497065976,74.96138497065976,2.3943931029045107,2.3943931029045107,12.602215059633503,11.652440735906367,10.207821956728992,,,,mid,6
0D944DDF9492,4,8,non_ELL,Mandatory extracurricular activities,523,650,main,384,114.33278945669531,76.69315986548168,1.6541841291289963,0.9541802044305969,6.485181814864126,6.1261223869562,5.531001610433529,5.058422595604788,4.83099768573513,,mid,6
2F76D50DCF47,4,8,non_ELL,Seeking multiple opinions,531,642,short,128,71.47862037050258,71.47862037050258,0.9622535788060089,0.9622535788060089,7.276167447439702,6.858700898314095,6.313913868633693,,,,mid,6
9A46E7449054,3,8,non_ELL,The Face on Mars,409,646,short,128,104.10470021244643,104.10470021244643,0.10800061710225606,0.10800061710225606,4.709175971863757,4.745807134986009,4.601175354761501,,,,mid,6
5CCF95325E62,3,10,non_ELL,Driverless cars,493,630,short,128,91.10406101256746,91.10406101256746,1.68214283348685,1.68214283348685,15.31630679368396,15.093093374892701,13.63416396019711,,,,mid,6
B3541C7B8380,4,8,non_ELL,Seeking multiple opinions,519,635,short,128,90.11159933670741,90.11159933670741,1.1205471952780517,1.1205471952780517,9.343293782032834,9.169144682772531,8.222746586754782,,,,mid,6
F5419CDEF2D6,4,9,non_ELL,Does the electoral college work?,523,676,main,384,120.31384574355016,84.72872112291685,2.194902247858902,1.204419971775529,19.52135682905476,19.20763017850734,18.31693685727923,17.88316007819747,17.326454581195858,,mid,6
CB9BC230ABC5,3,10,non_ELL,Exploring Venus,494,674,main,384,126.85586209553011,62.74499849452522,1.962820837651325,0.9898975103996897,11.344155018337302,10.829002605198776,10.354257507937612,9.527786715446574,9.381334180685977,,mid,6
E5F378BE5F7C,3,8,non_ELL,Seeking multiple opinions,557,647,short,128,62.55203960786774,62.55203960786774,4.7095025214267245,4.7095025214267245,24.207626008864164,21.74127543751236,19.49812348743744,,,,mid,6
36C7368968C0,4,8,non_ELL,Seeking multiple opinions,605,666,main,384,162.98490168291664,75.56863571568424,3.610719804828352,1.5908029180839112,6.807949236853592,6.188047878810013,5.2171463187696805,4.4321421405905985,3.1972294320252397,,mid,6
06936C8AA35D,5,8,non_ELL,Seeking multiple opinions,567,645,short,128,97.32308851360915,97.32308851360915,0.2787047941575693,0.2787047941575693,4.775216867785303,4.787237344879331,4.496512073627733,,,,high,6
