pair_type,child_id,log_slope_local_resid_diff,auc_log_k_resid_diff,auc_linear_k_resid_diff,early_ratio_resid_diff,mean_gain_128_resid_diff
within,1028,0.07999007606202013,0.351849058359778,1.6366847911853313,0.07721795382134888,0.097688523123588
within,1030,0.07016858702342343,0.16975094969362736,4.967943095813212,0.03844854766451444,0.1217289898628584
within,1030,0.03198994545782097,0.25905085012030593,11.880310164309691,0.010453565885926608,0.12845034366264563
within,1030,0.03817864156560247,0.4288017998139333,6.912367068496479,0.04890211355044105,0.006721353799787222
within,1031,0.007569032142785426,0.24180246752443768,5.9661463179220675,0.010437646045090565,0.019965791796770604
within,1031,0.009601092882224715,0.7138775804707906,23.424177838777894,0.07279157287668536,0.15245323502416985
within,1031,0.0020320607394392898,0.9556800479952283,29.39032415669996,0.0623539268315948,0.17241902682094046
within,1032,0.13641222846535284,0.9551744062690348,47.744068680542114,0.08486443218140383,0.2848578828764501
within,1032,0.049766825934628944,0.11169328202523321,10.833539368792515,0.025318385119298292,0.14279880736627448
within,1032,0.08664540253072389,0.8434811242438016,36.9105293117496,0.11018281730070212,0.1420590755101756
within,1034,0.15127128227226194,0.6584801637452804,41.64702220534059,0.12304757302709618,0.703277296340379
within,1034,0.0076128508521048355,0.24461992501133967,8.595790920777716,0.06652765334810962,0.07247057534840473
within,1034,0.15888413312436678,0.9031000887566201,50.24281312611831,0.1895752263752058,0.7757478716887838
within,1035,0.033955270430698514,0.9931697926852157,23.346708984455148,0.23905228823518843,0.04039891178148558
within,1035,0.022859134720063456,0.23487048109778197,10.809745132387405,0.060791010960732694,0.14877565993489572
within,1035,0.011096135710635058,1.2280402737829976,34.15645411684255,0.17826127727445573,0.1891745717163813
within,1036,0.08096198486664813,0.5141902365740729,1.9591966117422714,0.21647129785352004,0.20494243406965018
within,1036,0.01072356833009247,0.9363050173332774,28.220985623969625,0.11859823173418715,0.08057001367258532
within,1036,0.0916855531967406,0.4221147807592045,26.261789012227354,0.09787306611933289,0.2855124477422355
within,1037,0.04545507982682684,0.4066944367593255,18.856264464760812,0.0277389525990267,0.1391168164447547
within,1037,0.006978258102940338,0.4735095714172277,14.54654284947486,0.05775486494041404,0.15118142006828417
within,1037,0.052433337929767176,0.8802040081765532,33.40280731423567,0.03001591234138734,0.2902982365130389
within,1038,0.02705266370182069,0.3934194887025364,7.277366300002427,0.13357155473400273,0.019997114194278298
within,1038,0.027873547725604242,0.789848395300194,27.43711339932682,0.11125258798167614,0.189718373071166
within,1038,0.05492621142742493,0.3964289065976576,20.15974709932439,0.022318966752326586,0.16972125887688772
within,1039,0.03264538111041204,0.22131206863835384,0.9215457631855486,0.06983704582655736,0.06284701499200707
within,1039,0.01812457983966831,0.532324852201854,17.750403050432283,0.042268602663539934,0.13867700737450384
within,1039,0.05076996095008035,0.31101278356350015,16.828857287246734,0.02756844316301743,0.2015240223665109
within,1040,0.044569008918613706,0.08614236733151781,8.399474741123498,0.09970103900518257,0.09984204334592106
within,1040,0.040661248210633605,0.20604729295548996,0.7925408612384786,0.1163278820593433,0.15945204077694508
within,1040,0.08523025712924731,0.11990492562397215,9.192015602361977,0.016626843054160734,0.05960999743102402
