pair_type,child_id,log_slope_local_diff,auc_log_k_diff,auc_linear_k_diff,early_ratio_diff,mean_gain_128_diff
within,1060,0.05503999216490202,0.6598188406304679,26.96501204198401,0.08576935495310078,0.13021048249736866
within,1060,0.011702810366660932,0.05872569075754974,4.334298954471507,0.10716244688850907,0.1922249390232953
within,1060,0.06674280253156295,0.7185445313880177,31.299310996455517,0.02139309193540828,0.32243542152066396
within,1061,0.024026716528028846,0.6770994322287933,21.025786356772215,0.12936413828375742,0.20961866532602635
within,1061,0.1071596441796332,0.6009954726497275,0.509108832574583,0.30600127469667343,0.1325341870707848
within,1061,0.13118636070766204,0.0761039595790658,21.5348951893468,0.176637136412916,0.34215285239681115
within,1064,0.046515528534397055,0.4814980947934173,21.29921479398206,0.03240330428087235,0.25146416483386913
within,1064,0.058485405524666634,0.682596774884265,29.543903740759845,0.050053203558046544,0.2377889383223748
within,1064,0.011969876990269579,0.20109868009084764,8.244688946777785,0.017649899277174197,0.013675226511494332
within,1065,0.024890705746781705,0.15422535713316332,0.005383221756972034,0.005786284331267377,0.015921256426841834
within,1065,0.03808251908986282,0.3370977605330374,5.190417325208273,0.029619855266605044,0.007100454068952766
within,1065,0.06297322483664453,0.49132311766620074,5.195800546965245,0.023833570935337667,0.008820802357889068
within,1067,0.05553317293801696,0.27275798998385614,0.43687214860989343,0.09498257341650296,0.04519053601449552
