age_bin,story_id,n,half_life_mean,half_life_ci_low,half_life_ci_high,half_life_n,total_benefit_mean,total_benefit_ci_low,total_benefit_ci_high,total_benefit_n,ppl_at_min_ctx_mean,ppl_at_min_ctx_ci_low,ppl_at_min_ctx_ci_high,ppl_at_min_ctx_n,ppl_at_max_ctx_mean,ppl_at_max_ctx_ci_low,ppl_at_max_ctx_ci_high,ppl_at_max_ctx_n
7-8yr,B1,50,7.533736214396491,6.610304797737684,9.021912096434647,50,12826.289618473053,12303.2216116848,13090.876423788071,50,12854.419031677246,12334.503188781739,13114.376953125,50,28.129413204193114,21.619297536849977,35.70910915899277,50
7-8yr,B2,50,8.370943568816559,6.9581141020671495,10.182104043229025,50,12321.502724552154,11281.67869427824,13101.511919281484,50,12334.503188781739,11294.671502990723,13114.376953125,50,13.00046422958374,11.904931065559387,14.202876943588256,50
7-8yr,B3,50,7.695721590358761,6.4823625817215795,9.587679824099515,50,25201.746532182693,12326.060874963283,49799.858293167825,50,25209.935016479492,12334.503188781739,49176.17328125,50,8.188484296798705,7.681932332992554,8.813290622949602,50
8-9yr,A1,45,8.691973443909287,7.02806580897243,11.136730847705143,45,12424.321544382306,11269.487411439948,13391.238695607715,45,12446.35744934082,11290.988909573025,13330.720287407768,45,22.035904958513047,17.398373513221742,27.353790257506898,45
8-9yr,A2,45,9.778579604440592,7.557429012942972,12.511551240944423,45,64100.14341368146,24393.165125114392,116203.54591442956,45,64111.69675971137,24456.80845336914,116454.9717196316,45,11.5533460299174,10.366041775279575,13.046770127879249,45
8-9yr,A3,45,7.240474374200529,6.504631185515131,8.711720176235962,45,12817.637411997053,12239.421677646373,13106.971081153286,45,12825.53481818305,12247.850548299153,13114.376953125,45,7.897406185997857,7.2885219653447475,8.593769563833872,45
8-9yr,B1,45,9.064009971729147,7.254879237769181,11.823978336691118,45,12514.005619239808,11646.949588621987,13094.554605235524,45,12536.692683241103,11670.166278415256,13114.376953125,45,22.6870640012953,18.24797246032291,28.440433114899527,45
8-9yr,B2,45,10.167641956592416,6.827293536000272,14.89162580239695,45,12756.542820750343,11437.94714294725,14149.005658007993,45,12771.149182425605,11393.3481495444,14188.951875474719,45,14.606361675262452,12.391609177854328,17.363757638136544,45
8-9yr,B3,45,7.318567771046484,6.5428569290852865,8.619404374576616,45,12817.637979835934,12239.682613041401,13106.792203382915,45,12825.53481818305,12247.850548299153,13114.376953125,45,7.896838347117106,7.517303748395707,8.304879936377208,45
9-10yr,A1,50,7.782512166140517,6.536004203118528,9.639114832873018,50,24461.620409345625,12123.547864417553,48435.585830633165,50,24482.74107116699,12074.545267333984,48189.02141448975,50,21.120661821365356,17.246451409339905,25.258491886854173,50
9-10yr,A2,50,11.3744377191489,8.046795692483718,16.196718799896665,50,13213.111060705185,11541.054252962827,15258.956306977272,50,13225.608260650635,11553.421800994873,15531.357117614745,50,12.497199945449829,10.796661538600922,14.423109904766083,50
9-10yr,A3,50,8.139892339971214,6.487717801204581,10.487830217158496,50,12586.750846672057,11806.631785174846,13106.88747370696,50,12594.461110229493,11814.58734588623,13114.376953125,50,7.710263557434082,7.139194851636887,8.320479152679443,50
9-10yr,B1,50,11.05250698471598,7.00481465382536,18.189240155349086,49,24209.437278785706,11781.148646820784,48437.147246114255,50,24232.539394073487,11727.375954082489,58698.03878644943,50,23.102115287780762,17.954311830759046,28.90713754200935,50
9-10yr,B2,50,7.1162332621075075,6.749789535556702,7.498272314956653,50,13675.049314393997,13098.119658978223,14826.454423718214,50,13689.6065234375,13114.376953125,14840.0656640625,50,14.557209043502807,12.763529767274855,16.764218266963958,50
9-10yr,B3,50,7.178773284630182,6.5168018644341705,8.34752141430109,50,13738.28314888954,12326.500371099233,15782.635812749862,50,13746.731726989747,12334.503188781739,15791.3150390625,50,8.448578100204468,7.815965367794037,9.144579766511917,50
