doc_id,age_months,age_group,n_chars,n_words,n_tokens_model,word_count,n_tokens,ppl_min_ctx,ppl_32,ppl_max_fixed,total_benefit_fixed,benefit_ok_fixed,half_life_fixed,early_drop_pct_fixed,early_slope,burst_valid_256,burst_valid_512,burst_n_targets_256,burst_n_targets_512,burst_baseline_512,burst_I_L_max_512,burst_I_L_std_512,burst_spike_mass_c_512,burst_spike_count_c_512,burst_cv_c_512,burst_kurtosis_c_512,burst_spike_mass_512,burst_cv_512,burst_baseline_256,burst_I_L_max_256,burst_I_L_std_256,burst_spike_mass_c_256,burst_spike_count_c_256,burst_cv_c_256,burst_kurtosis_c_256,burst_spike_mass_256,burst_cv_256,model,model_tag
ECSC_1020_2_65M_1020_YR2,65,4-6yr,1637,406,415,406,415,20.404328716225976,18.767542335492355,14.910642135876754,5.493686580349221,True,192.42329664929775,29.79395269086455,-0.034099716265283776,True,False,20,0,,,,,,,,,,15.346149737276884,36.853708268934184,9.47682267724443,0.5175392928062743,1.0,1.2518860058835966,-0.33562499280526614,0.22764736986991055,0.6175374826575918,Qwen2.5-7B-Instruct,qwen7b
ECSC_1020_3_65M_1020_YR3,65,4-6yr,1290,298,310,298,310,43.57267956821836,17.374336465056803,10.484129849728541,33.08854971848982,True,11.878790276787932,79.17646232926907,-0.8704391526398035,True,False,20,0,,,,,,,,,,16.720241723952267,30.31708475759622,7.263630515339196,0.3394701245009449,1.0,1.1091435553750868,-1.2944927927471834,0.16648061014424995,0.43442138189508467,Qwen2.5-7B-Instruct,qwen7b
ECSC_1053_1_65M_1053_YR1,65,4-6yr,1081,276,294,276,294,65.49145282185846,42.827683738889746,18.391711691957802,47.09974112990066,True,33.87005693271839,48.11867016521862,-1.019446696034551,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_1053_2_65M_1053_YR2,65,4-6yr,1470,352,397,352,397,16.509179005738478,9.774328982629385,7.127567296376151,9.381611709362327,True,13.244418655225871,71.78777199218432,-0.21006793526131473,True,False,20,0,,,,,,,,,,9.337409091221332,26.3254019628671,7.8901578377109995,0.4506795796722742,1.0,1.1760769986533957,-0.7208247375937344,0.2619054370052628,0.8450050501834624,Qwen2.5-7B-Instruct,qwen7b
ECSC_1053_3_65M_1053_YR3,65,4-6yr,1015,257,280,257,280,58.91096280583739,23.819404859412305,22.49148007293295,36.41948273290444,True,12.908704531886984,96.3538065704607,-1.3962765835973066,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_1097_3_65M_1097_YR3,65,4-6yr,1441,349,357,349,357,63.48476269703381,36.161879616067765,31.177518232988785,32.30724446404503,True,8.317521463349266,84.57200090640316,-0.7555054465526214,True,False,20,0,,,,,,,,,,24.350949540012596,55.89178852716753,14.444409323443292,0.47533694256093034,1.0,1.2044357344472083,-0.6395167284073922,0.21705011015994877,0.5931764303362693,Qwen2.5-7B-Instruct,qwen7b
ECSC_2003_2_65M_2003_YR2,65,4-6yr,1320,317,345,317,345,155.37004505528662,144.73511852207037,41.63491724242542,113.73512781286121,True,56.93755464024931,9.350608503922265,-0.4747735059471544,True,False,20,0,,,,,,,,,,28.428318367319104,96.90902245924514,31.204072409518705,0.4229363355664962,1.0,1.1245472923753503,-0.7834191201142815,0.30640840828627797,1.097640458585499,Qwen2.5-7B-Instruct,qwen7b
ECSC_4005_1_65M_4005_YR1,65,4-6yr,1326,332,366,332,366,150.49816521575028,53.1400050982866,22.44185873969045,128.05630647605983,True,25.51990265578505,76.02761847239817,-3.6020286737788543,True,False,20,0,,,,,,,,,,9.366815476191185,21.455160766450707,6.462766898092542,0.4172558746468485,1.0,1.1836548639483093,-0.9302810964445993,0.22161129250438155,0.6899641521197648,Qwen2.5-7B-Instruct,qwen7b
ECSC_2008_1_66F_2008_YR1,66,4-6yr,1784,423,464,423,464,33.376990435942595,13.430689073012944,10.697194959901452,22.679795476041143,True,9.428605387536319,87.94744813285841,-0.6179016839962574,True,False,20,0,,,,,,,,,,4.003981505215259,8.501547218623198,2.175213149749026,0.48289730602199077,1.0,1.3154713506962965,0.3141511645768271,0.19650185149245417,0.5432625367813939,Qwen2.5-7B-Instruct,qwen7b
ECSC_2008_2_66F_2008_YR2,66,4-6yr,1424,351,372,351,372,21.561499380967142,14.452556376268683,10.748971900606053,10.812527480361089,True,15.619219915487193,65.74728265533206,-0.2701556179022354,True,False,20,0,,,,,,,,,,17.088307462305288,78.92431850287308,21.811205160716952,0.8071593379616373,1.0,1.4356656126857334,3.3054780096054914,0.4588034373310368,1.2763818306072616,Qwen2.5-7B-Instruct,qwen7b
ECSC_4076_1_66F_4076_YR1,66,4-6yr,1152,276,308,276,308,80.63922415553458,34.21270214145241,26.128640717667068,54.51058343786751,True,14.605813580429803,85.16973968367124,-1.724060574287877,True,False,20,0,,,,,,,,,,22.395622025947144,37.28880347448897,8.32361162356232,0.4265283992796235,0.0,1.1919067642766494,-0.808831080354937,0.16650041437244684,0.37166244429017153,Qwen2.5-7B-Instruct,qwen7b
ECSC_1036_1_66M_1036_YR1,66,4-6yr,1509,365,383,365,383,32.8911509290748,20.0672557886221,11.782072870205637,21.10907805886916,True,15.018626446444369,60.75061688951702,-0.37134963829742385,True,False,20,0,,,,,,,,,,6.949308361716591,12.524112320548253,3.4907034039102998,0.3674979973148676,1.0,1.1731153701825894,-1.1322590810943518,0.1786784186593728,0.5023094705568714,Qwen2.5-7B-Instruct,qwen7b
ECSC_1036_2_66M_1036_YR2,66,4-6yr,1449,330,373,330,373,19.84426481247956,15.295511319619916,10.660333214545497,9.183931597934064,True,96.8095734678364,49.52947922524699,-0.2069836078960588,True,False,20,0,,,,,,,,,,15.622800618356123,39.293612630382185,10.841050135818863,0.4770603586764267,1.0,1.185079600630061,-0.6202070279146046,0.23967165360208564,0.6939248858544026,Qwen2.5-7B-Instruct,qwen7b
ECSC_1036_3_66M_1036_YR3,66,4-6yr,1613,394,409,394,409,79.21934728461765,37.460414257185526,17.295532257634868,61.92381502698279,True,21.896561376750913,67.43598243944761,-1.4318841881119286,True,False,20,0,,,,,,,,,,11.19855803079657,27.47476471427866,8.127811064611846,0.40552003205949705,1.0,1.1311078239425822,-1.0267164846253238,0.23010374723358734,0.7257908600607307,Qwen2.5-7B-Instruct,qwen7b
ECSC_2001_1_66M_2001_YR1,66,4-6yr,1036,281,294,281,294,30.353491477670353,11.32280515916497,7.915265976020866,22.438225501649487,True,11.208175769900357,84.81368688048165,-0.7068201685759463,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_2001_2_66M_2001_YR2,66,4-6yr,1566,373,399,373,399,51.90005966907329,26.22476933300229,17.525220873585695,34.3748387954876,True,28.45667017080871,74.69210397996517,-0.8206340746950377,True,False,20,0,,,,,,,,,,15.668891950416272,44.742740656330795,14.74529412586366,0.41927227465939215,1.0,1.119951472162323,-0.9988795780548756,0.2761497771710949,0.9410553198352948,Qwen2.5-7B-Instruct,qwen7b
ECSC_2011_1_66M_2011_YR1,66,4-6yr,1308,309,325,309,325,56.15499017176184,28.084584433504897,15.59748510466534,40.5575050670965,True,7.80965495380457,69.21137207976312,-0.6511867412192319,True,False,20,0,,,,,,,,,,17.269187091748897,37.680117649343174,10.344396523832009,0.5224032602272374,1.0,1.3447426127425717,0.3782958009659203,0.21175056855062033,0.5990088861087441,Qwen2.5-7B-Instruct,qwen7b
ECSC_2022_1_66M_2022_YR1,66,4-6yr,990,253,280,253,280,86.44503904503193,64.14008482632204,25.229381786950956,61.21565725808098,True,52.24569029153838,36.43668175394042,-0.6217434577805356,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_1057_1_67F_1057_YR1,67,4-6yr,1861,486,505,486,505,40.06372917386008,29.688030653339528,14.556999406074436,25.506729767785647,True,56.53512819359476,40.67827830137911,-0.30162327731306726,True,False,20,0,,,,,,,,,,5.969712351165015,15.628781473242451,5.415971081569155,0.4104446306725378,1.0,1.213718895285337,-0.5858792385325282,0.24192318531267343,0.9072415491698197,Qwen2.5-7B-Instruct,qwen7b
ECSC_1057_2_67F_1057_YR2,67,4-6yr,1239,303,322,303,322,35.41093034590434,22.516712527802195,11.909000153270489,23.50193019263385,True,26.21321879196349,54.86450564874687,-0.481407219869985,True,False,20,0,,,,,,,,,,9.387658347210982,13.15332314170443,2.819030852754217,0.3212689056531137,1.0,1.2626688455749058,-0.3522858449478967,0.13820250019971475,0.3002911640464349,Qwen2.5-7B-Instruct,qwen7b
ECSC_1057_3_67F_1057_YR3,67,4-6yr,2005,471,498,471,498,24.385161518569493,16.65725514372672,7.657224777459437,16.727936741110057,True,38.80134466149482,46.19760640205503,-0.33843288216690903,True,False,20,0,,,,,,,,,,6.579316887212971,19.768111178336067,5.33939135260277,0.5012301869696476,1.0,1.195814591610093,-0.15602369451225817,0.26981967584484023,0.8115419038380687,Qwen2.5-7B-Instruct,qwen7b
