doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,n_turns_child,n_turns_adult,adult_turn_frac,adult_token_frac,child_tokens,adult_tokens,canonical_sim,group_canonical_mean
31332048,miami_mono,grade5,284,27,10.518518518518519,0.38028169014084506,29.472727272727273,27,27,0,0.0,0.0,340,0,0.08949578682815644,0.1111421120321634
31332118,miami_mono,grade5,293,30,9.766666666666667,0.3412969283276451,28.275524475524477,30,30,0,0.0,0.0,342,0,0.1398779030803273,0.1111421120321634
31332234,miami_mono,grade5,355,36,9.86111111111111,0.3352112676056338,24.361574637541903,36,36,0,0.0,0.0,407,0,0.13495452111241907,0.1111421120321634
31332235,miami_mono,grade5,415,43,9.651162790697674,0.3156626506024096,22.02513966480447,43,43,0,0.0,0.0,478,0,0.13467542571940855,0.1111421120321634
31332236,miami_mono,grade5,338,35,9.657142857142857,0.34615384615384615,23.842572850035538,35,35,0,0.0,0.0,395,0,0.1423302844468774,0.1111421120321634
31332244,miami_mono,grade5,203,20,10.15,0.39408866995073893,24.223651304037155,20,20,0,0.0,0.0,238,0,0.1114240123964124,0.1111421120321634
31332245,miami_mono,grade5,364,34,10.705882352941176,0.3159340659340659,20.324945709912985,34,34,0,0.0,0.0,418,0,0.09551222494068992,0.1111421120321634
31332250,miami_mono,grade5,239,25,9.56,0.3807531380753138,30.713011104692214,25,25,0,0.0,0.0,284,0,0.12397655425927095,0.1111421120321634
31332267,miami_mono,grade5,293,36,8.13888888888889,0.3651877133105802,26.820062695924765,36,36,0,0.0,0.0,341,0,0.1276055157217678,0.1111421120321634
31332268,miami_mono,grade5,358,37,9.675675675675675,0.441340782122905,54.46001407583995,37,37,0,0.0,0.0,428,0,0.08803340572812272,0.1111421120321634
32331298,miami_mono,grade5,178,22,8.090909090909092,0.449438202247191,28.63942751615882,22,22,0,0.0,0.0,212,0,0.10747662241899393,0.1111421120321634
32331316,miami_mono,grade5,200,26,7.6923076923076925,0.435,45.65972222222222,26,26,0,0.0,0.0,240,0,0.06215689647442771,0.1111421120321634
32331333,miami_mono,grade5,153,19,8.052631578947368,0.4117647058823529,27.633215072180086,19,19,0,0.0,0.0,178,0,0.1122754459981748,0.1111421120321634
32331334,miami_mono,grade5,189,22,8.590909090909092,0.41798941798941797,21.0,22,22,0,0.0,0.0,228,0,0.09859932924654355,0.1111421120321634
32331337,miami_mono,grade5,152,25,6.08,0.4868421052631579,32.75513307984791,25,25,0,0.0,0.0,185,0,0.09703557709037071,0.1111421120321634
32331339,miami_mono,grade5,407,52,7.826923076923077,0.3366093366093366,20.04705252887672,52,52,0,0.0,0.0,502,0,0.07280668846461692,0.1111421120321634
32331466,miami_mono,grade5,258,30,8.6,0.38372093023255816,33.848534395624,30,30,0,0.0,0.0,303,0,0.1299318686881237,0.1111421120321634
32331468,miami_mono,grade5,249,34,7.323529411764706,0.3172690763052209,15.534080984517665,34,34,0,0.0,0.0,291,0,0.11598850745650417,0.1111421120321634
32332017,miami_mono,grade5,199,26,7.653846153846154,0.37185929648241206,20.41244635193133,26,26,0,0.0,0.0,232,0,0.10960220607286193,0.1111421120321634
32332111,miami_mono,grade5,399,44,9.068181818181818,0.2932330827067669,18.327618163153666,44,44,0,0.0,0.0,456,0,0.12609031890861316,0.1111421120321634
32332112,miami_mono,grade5,348,31,11.225806451612904,0.33620689655172414,26.618296254206918,31,31,0,0.0,0.0,401,0,0.11821122309235259,0.1111421120321634
32332113,miami_mono,grade5,181,23,7.869565217391305,0.4088397790055249,20.11111111111111,23,23,0,0.0,0.0,216,0,0.09964733771410396,0.1111421120321634
32332151,miami_mono,grade5,375,39,9.615384615384615,0.2986666666666667,14.273777340869993,39,39,0,0.0,0.0,434,0,0.11715489765109285,0.1111421120321634
32332152,miami_mono,grade5,73,9,8.11111111111111,0.589041095890411,24.58226768968457,9,9,0,0.0,0.0,88,0,0.060839559902124314,0.1111421120321634
32332254,miami_mono,grade5,253,34,7.4411764705882355,0.383399209486166,24.80750698660499,34,34,0,0.0,0.0,298,0,0.1252424576177453,0.1111421120321634
32332256,miami_mono,grade5,461,42,10.976190476190476,0.3188720173535792,27.298926337811892,42,42,0,0.0,0.0,535,0,0.1143921959947477,0.1111421120321634
32332266,miami_mono,grade5,304,31,9.806451612903226,0.3256578947368421,22.549450549450547,31,31,0,0.0,0.0,359,0,0.1413030936140356,0.1111421120321634
32332283,miami_mono,grade5,470,43,10.930232558139535,0.3170212765957447,31.05375327137086,43,43,0,0.0,0.0,554,0,0.1508004860363248,0.1111421120321634
32332330,miami_mono,grade5,282,40,7.05,0.3546099290780142,21.857772490615215,40,40,0,0.0,0.0,337,0,0.1034475258946786,0.1111421120321634
32332332,miami_mono,grade5,260,33,7.878787878787879,0.3769230769230769,27.21625511008451,33,33,0,0.0,0.0,306,0,0.12228108667717257,0.1111421120321634
42331360,miami_mono,grade5,644,66,9.757575757575758,0.24378881987577639,19.289303374770977,66,66,0,0.0,0.0,767,0,0.15395908497933555,0.1111421120321634
42331405,miami_mono,grade5,385,39,9.871794871794872,0.37142857142857144,24.864583333333336,39,39,0,0.0,0.0,456,0,0.10389957660895151,0.1111421120321634
42331438,miami_mono,grade5,282,36,7.833333333333333,0.3404255319148936,20.142857142857142,36,36,0,0.0,0.0,324,0,0.12255478449216485,0.1111421120321634
42332082,miami_mono,grade5,293,36,8.13888888888889,0.3447098976109215,20.05529290853032,36,36,0,0.0,0.0,354,0,0.12036925541817972,0.1111421120321634
42332310,miami_mono,grade5,367,35,10.485714285714286,0.329700272479564,27.65836920581446,35,35,0,0.0,0.0,426,0,0.1267962723390409,0.1111421120321634
