doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,adult_turn_frac,adult_token_frac,canonical_sim,group_canonical_mean
ECSC_2009_1_68M_2009_YR1,ecsc,4-6yr,234,47,4.9787234042553195,0.4230769230769231,36.64462637607028,,,,0.06892426116318884,0.07551843430128889
ECSC_2009_2_68M_2009_YR2,ecsc,4-6yr,301,67,4.492537313432836,0.37209302325581395,29.343718592964827,,,,0.09774500920077318,0.07551843430128889
ECSC_2006_1_69F_2006_YR1,ecsc,4-6yr,186,61,3.0491803278688523,0.4032258064516129,23.34284763465083,,,,0.06477527912779348,0.07551843430128889
ECSC_2015_1_69F_2015_YR1,ecsc,4-6yr,321,145,2.213793103448276,0.46417445482866043,67.0560928433269,,,,0.06442507818609738,0.07551843430128889
ECSC_3001_1_69M_3001_YR1,ecsc,4-6yr,264,57,4.631578947368421,0.32575757575757575,28.158904109589038,,,,0.0728538387281469,0.07551843430128889
ECSC_2010_1_70F_2010_YR1,ecsc,4-6yr,189,51,3.7058823529411766,0.43915343915343913,21.281140861466824,,,,0.07702743363456512,0.07551843430128889
ECSC_2010_2_70F_2010_YR2,ecsc,4-6yr,259,70,3.7,0.30115830115830117,16.334659090909092,,,,0.08810910880199746,0.07551843430128889
ECSC_1073_1_70M_1073_YR1,ecsc,4-6yr,695,136,5.110294117647059,0.2316546762589928,16.171536796536795,,,,0.12241610306640312,0.07551843430128889
ECSC_1073_2_70M_1073_YR2,ecsc,4-6yr,365,49,7.448979591836735,0.3726027397260274,25.424635532493205,,,,0.08903229220261537,0.07551843430128889
ECSC_1073_3_70M_1073_YR3,ecsc,4-6yr,328,61,5.377049180327869,0.35365853658536583,27.75155279503106,,,,0.11136884506218633,0.07551843430128889
ECSC_1047_1_71F_1047_YR1,ecsc,4-6yr,162,37,4.378378378378378,0.37037037037037035,18.423822714681442,,,,0.06622093197418193,0.07551843430128889
ECSC_1047_2_71F_1047_YR2,ecsc,4-6yr,248,79,3.1392405063291138,0.3185483870967742,18.51636468843803,,,,0.10261765259659683,0.07551843430128889
ECSC_1047_3_71F_1047_YR3,ecsc,4-6yr,407,129,3.1550387596899223,0.29484029484029484,22.417655204431213,,,,0.1119143224047782,0.07551843430128889
ECSC_2021_1_71F_2021_YR1,ecsc,4-6yr,132,35,3.7714285714285714,0.5227272727272727,23.255532786885247,,,,0.0632730389675171,0.07551843430128889
ECSC_2030_1_71F_2030_YR1,ecsc,4-6yr,208,38,5.473684210526316,0.3942307692307692,22.861854088773846,,,,0.08191655795583486,0.07551843430128889
ECSC_4084_1_71F_4084_YR1,ecsc,4-6yr,376,107,3.514018691588785,0.2978723404255319,20.067844810075158,,,,0.09308089917032673,0.07551843430128889
ECSC_1011_1_71M_1011_YR1,ecsc,4-6yr,136,52,2.6153846153846154,0.4411764705882353,28.269254399283327,,,,0.07529335419887086,0.07551843430128889
ECSC_1011_2_71M_1011_YR2,ecsc,4-6yr,185,61,3.0327868852459017,0.4,23.267950294144683,,,,0.0763394846752346,0.07551843430128889
