story_id,age_bin,group,n,n_tokens_median,n_tokens_q25,n_tokens_q75,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high
B2,5-6yr,LI,13,69.0,55.0,89.0,0.5021790226461985,0.45119053321565006,0.5550826541126345,17.64594359816277,14.614799540677254,21.227309129750225,6.203639949793796,5.109748520710061,7.433214990138066,0.06035909615666491,0.0490731060712922,0.07036535389637935,0.15598969945188396,0.10271792131230564,0.21668818271235105
B2,6-7yr,TD,49,82.0,57.0,117.0,0.5465257249049659,0.5226077677702449,0.5701965197297261,27.073527820505248,24.268669962695956,30.22110228337639,6.965047345398884,6.652317761788147,7.302156076132559,0.08427334816911783,0.07937428748532839,0.08855621857850857,0.07445072312754289,0.05114882270078139,0.09855941348458282
B2,6-7yr,LI,11,71.0,59.0,97.0,0.5654787551589114,0.49935220914488365,0.6297285015304597,27.74436319903023,22.168381713527104,33.88431096737988,6.3752473313970635,5.497814067245885,7.183834431314377,0.0718599540317263,0.05901281655438272,0.08672468401770707,0.1484617036169207,0.10146274074061706,0.19650797214833954
B2,7-8yr,TD,50,86.0,75.5,121.25,0.5292469648361211,0.5090476949596043,0.5469426252277823,28.314990986506402,26.18778558984128,30.701741304011165,8.000867318955555,7.578930431006901,8.436996563403916,0.08318290779690772,0.07736601536693723,0.08817195345667858,0.06588045172567127,0.04512376411949707,0.08699994443101211
B2,7-8yr,LI,13,74.0,65.0,98.0,0.522331627140795,0.48856122543466346,0.5622732668629288,26.2392146132035,21.691288828554764,31.74656494447853,7.025977853564061,6.174435839543598,7.827881852343059,0.07899186441525671,0.06935692916035222,0.08851147709263742,0.12871920035734144,0.09497795100789111,0.16899105618483026
B2,8-9yr,TD,45,112.0,85.0,140.0,0.5236275544210007,0.5051150634380412,0.5444115002152997,31.626789620306322,27.916558500925014,35.614440674415455,8.477047718780915,7.998160706917491,8.969177526796999,0.09488081276956893,0.0899248744826582,0.09970634921163551,0.03739590316655098,0.026503387012886168,0.050133415187540366
B2,8-9yr,LI,17,81.0,60.0,111.0,0.5679709065692065,0.529350171863575,0.6150109261337279,33.113604178830904,25.264666007109998,42.27783579171869,6.54004210873406,6.0237072868020105,7.036610971688827,0.0773507899496897,0.06794699407036117,0.08568886207416972,0.11497943423612872,0.08350594909410462,0.14664039726724248
B2,9-10yr,TD,50,100.5,78.5,126.75,0.5631070488847069,0.5407617976338687,0.5856898482493499,35.70228183209732,33.10873578354057,38.37100781037367,8.70640848910767,8.334698398501223,9.138095311374933,0.08423978787841152,0.07844469440126034,0.09036307793192005,0.038852601140646835,0.02959748070559604,0.048796958006908926
B2,9-10yr,LI,10,94.5,71.75,172.0,0.5255202699734993,0.4999220159317132,0.5487781266117397,26.601426250668304,22.042915304698028,30.39284370824642,8.215705266955268,7.354573097041847,9.368833964646464,0.07925352374110264,0.07371748970025904,0.08580010185468692,0.06262015100823579,0.04684658446691235,0.0819044899284794
B3,4-5yr,TD,45,119.0,90.0,154.0,0.47218443017668255,0.4542502089364511,0.490022609297512,26.270378779314058,23.60433458519514,28.88315861939654,6.317504311897224,5.944854836605191,6.642942213779949,0.08130022809224563,0.07505148772072845,0.08757031144274408,0.09497084693472063,0.06416321459115831,0.12613920487531732
B3,4-5yr,LI,11,86.0,71.0,115.5,0.4489772121915772,0.3913594878471007,0.505315764963617,17.39523539219611,14.226824169958435,21.06199470599894,4.879399287584501,4.12134473107061,5.735281745701251,0.055502434345296045,0.046190033050382426,0.06597573695251491,0.10554511847430645,0.030253171293538276,0.18516678982980592
B3,5-6yr,TD,46,139.0,110.0,192.0,0.46031044046163827,0.4403682894858231,0.48573607789888146,29.255414901243718,26.700970025912866,31.853082082671477,7.29794764527896,6.892982514799394,7.707804826559376,0.09208851575971276,0.0851673924065865,0.0985823885496894,0.07660076169772331,0.05719349538253225,0.09578208430361405
B3,5-6yr,LI,13,121.0,87.0,159.0,0.4285179180710838,0.39582524903465977,0.46853617405246295,19.93559720074691,16.256010422300562,23.4719195250907,5.917306855759289,4.94284433097476,6.856201224364461,0.07592879277222592,0.06496226425524707,0.0875577273369472,0.1411926673003325,0.09846039618701177,0.19301276089000335
B3,6-7yr,TD,49,126.0,107.0,164.0,0.4767927766766914,0.45600616859458104,0.4999260810843086,30.149485990195917,27.41763917101864,32.964253587601185,7.115259468202001,6.7578590394035025,7.475499353527247,0.10599861382318757,0.10018288311000022,0.11106542919901446,0.044284193957616305,0.03336783355010537,0.05567921031068292
B3,6-7yr,LI,11,126.0,97.5,165.0,0.44424722702994485,0.3964937374910259,0.48973178289605246,21.375042480660575,18.438657528108013,25.19137195439116,6.7970016302652,5.999340657917469,7.7735536224156645,0.07415646066383182,0.056499436078041115,0.0921099856501744,0.11603075655601004,0.07257043615704353,0.17004558054376928
B3,7-8yr,TD,50,156.0,115.25,188.25,0.46676236953187666,0.448624702918622,0.4849321968725668,33.145158172939766,30.697990331635207,35.77081819632317,7.952875314691053,7.590894588770462,8.31235145944695,0.10071543478015339,0.09371947545012096,0.10694655023347484,0.043229205146091125,0.031454727893793714,0.0580133212828134
B3,7-8yr,LI,13,112.0,94.0,145.0,0.4635159709425587,0.41981654840450144,0.5047120237516189,27.315832112968437,23.345074685807063,31.723636434489077,6.667746583171128,5.884234864503127,7.528628747545189,0.10036638277714117,0.08970291329876866,0.11141603844511011,0.07920420643238035,0.05406988203952069,0.10152185163322228
B3,8-9yr,TD,45,165.0,124.0,217.0,0.4681883694983357,0.4472777482097578,0.49080820744790415,34.62199904243958,32.08105250487905,37.47361287095282,8.027711278595945,7.683727932117861,8.42617408331439,0.10953704286406361,0.1035069926463301,0.11496283098947262,0.029508124984779328,0.020491525690863703,0.03848991448889446
B3,8-9yr,LI,17,122.0,107.0,167.0,0.48546620739223734,0.45496129965780313,0.5179526100328454,29.494772424971277,24.93882743013785,34.318886793234135,6.72280057829978,6.259249804880607,7.232948191700615,0.0945414613277922,0.08392854380867842,0.1044477751030183,0.08140324389704917,0.05844566491927634,0.10996761525252251
B3,9-10yr,TD,50,166.5,129.5,202.75,0.45978701906451636,0.4409370037953056,0.47743292436859663,33.52323910257122,31.452393611055385,35.88012708953832,8.40800816815128,8.02482987391248,8.839552551052169,0.10475663196611266,0.09735012210141965,0.11158728492193648,0.030992623752212598,0.02441989718874277,0.037034495320658
B3,9-10yr,LI,10,139.5,107.0,198.0,0.495919853590799,0.4618747290502663,0.5349939757852743,33.492461592861915,27.373536019537784,40.57778045985725,7.059877740751473,6.521611036656042,7.685382084902926,0.08521018654072672,0.07221884516503399,0.09707002003865156,0.05756710559052018,0.03714725250789805,0.07711387276678355
