doc_id,file_id,story_id,group,age_bin,age_years,word_count,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,adult_token_frac,canonical_sim
464_A1,464,A1,TD,4-5yr,4.674166666666666,47,36,7,5.142857142857143,0.6944444444444444,31.263157894736842,0.020833333333333332,0.06176702941184417
464_A2,464,A2,TD,4-5yr,4.674166666666666,56,38,9,4.222222222222222,0.5526315789473685,13.082833769416752,0.017543859649122806,0.04630470482718701
464_A3,464,A3,TD,4-5yr,4.674166666666666,118,87,15,5.8,0.3793103448275862,15.081818181818182,0.024793388429752067,0.050445216874348386
464_B1,464,B1,TD,4-5yr,4.674166666666666,41,32,5,6.4,0.625,13.832535885167466,0.06818181818181818,0.07056159808052861
464_B2,464,B2,TD,4-5yr,4.674166666666666,71,59,9,6.555555555555555,0.4406779661016949,12.534538152610443,0.04054054054054054,0.06070713269415741
464_B3,464,B3,TD,4-5yr,4.674166666666666,114,88,14,6.285714285714286,0.4659090909090909,19.8,0.008695652173913044,0.07211157503026185
468_A1,468,A1,TD,4-5yr,4.433333333333334,36,26,5,5.2,0.5384615384615384,12.015151515151516,0.5384615384615384,0.026447868169574146
468_A2,468,A2,TD,4-5yr,4.433333333333334,65,47,9,5.222222222222222,0.6170212765957447,18.75,0.04411764705882353,0.08494056038689123
468_A3,468,A3,TD,4-5yr,4.433333333333334,127,96,20,4.8,0.40625,16.0,0.09285714285714286,0.07330487472633666
468_B1,468,B1,TD,4-5yr,4.433333333333334,41,30,6,5.0,0.7,25.562130177514792,0.023809523809523808,0.08177093844822556
468_B2,468,B2,TD,4-5yr,4.433333333333334,69,51,12,4.25,0.5490196078431373,23.84844559585492,0.0547945205479452,0.04264017120852593
468_B3,468,B3,TD,4-5yr,4.433333333333334,101,72,14,5.142857142857143,0.4861111111111111,19.342861007168295,0.00980392156862745,0.05490887771186652
471_A1,471,A1,TD,4-5yr,4.755833333333333,76,63,8,7.875,0.5238095238095238,13.484903481273715,0.0379746835443038,0.11691771186647622
471_A2,471,A2,TD,4-5yr,4.755833333333333,96,76,13,5.846153846153846,0.6447368421052632,33.2970297029703,0.030303030303030304,0.06795505991177735
471_A3,471,A3,TD,4-5yr,4.755833333333333,205,159,25,6.36,0.42138364779874216,29.23548387096774,0.014423076923076924,0.12817753164823145
471_B1,471,B1,TD,4-5yr,4.755833333333333,85,70,9,7.777777777777778,0.5285714285714286,21.92333186036235,0.011627906976744186,0.07638959516389206
471_B2,471,B2,TD,4-5yr,4.755833333333333,109,87,13,6.6923076923076925,0.5632183908045977,22.17270318021201,0.0,0.04778519824877183
471_B3,471,B3,TD,4-5yr,4.755833333333333,233,190,29,6.551724137931035,0.41578947368421054,33.33031400966183,0.004273504273504274,0.10608686453281606
501_A1,501,A1,TD,5-6yr,5.676666666666667,95,76,11,6.909090909090909,0.4605263157894737,14.577049180327869,0.22131147540983606,0.07490877164395486
501_A2,501,A2,TD,5-6yr,5.676666666666667,114,102,12,8.5,0.5490196078431373,30.80451127819549,0.13636363636363635,0.09467447374454828
501_A3,501,A3,TD,5-6yr,5.676666666666667,196,163,17,9.588235294117647,0.4233128834355828,25.226190476190474,0.09259259259259259,0.11842953541696528
501_B1,501,B1,TD,5-6yr,5.676666666666667,81,63,9,7.0,0.5396825396825397,27.639705882352942,0.25,0.10577005986227625
501_B2,501,B2,TD,5-6yr,5.676666666666667,131,103,14,7.357142857142857,0.5922330097087378,32.963684089073496,0.10884353741496598,0.09902328888663509
501_B3,501,B3,TD,5-6yr,5.676666666666667,232,194,21,9.238095238095237,0.4020618556701031,28.512203043801037,0.072,0.12737873020229937
502_A1,502,A1,TD,5-6yr,5.349166666666667,62,48,8,6.0,0.5625,24.923076923076923,0.3541666666666667,0.06250569094862117
502_A2,502,A2,TD,5-6yr,5.349166666666667,73,54,10,5.4,0.6851851851851852,39.26856240126382,0.23958333333333334,0.08138094819481899
502_A3,502,A3,TD,5-6yr,5.349166666666667,145,111,18,6.166666666666667,0.32432432432432434,15.184089255396557,0.03333333333333333,0.05361568183019155
502_B1,502,B1,TD,5-6yr,5.349166666666667,70,53,10,5.3,0.6037735849056604,17.966732172936553,0.5238095238095238,0.06279224178902368
502_B2,502,B2,TD,5-6yr,5.349166666666667,83,64,9,7.111111111111111,0.515625,22.45614035087719,0.15306122448979592,0.0663722652885435
502_B3,502,B3,TD,5-6yr,5.349166666666667,150,110,22,5.0,0.4090909090909091,20.584308046489177,0.25742574257425743,0.08827254782589121
