doc_id,author_id,age_months,age_bin,sex,word_count,token_count,contrast_W4,n_sent_W4,contrast_W16,n_sent_W16,contrast_W32,n_sent_W32,contrast_W64,n_sent_W64,contrast_W128,n_sent_W128
ECSC_1020_3_65M_1020_YR3,1020,65,5-6y,M,298,337,1.0473605938167154,3,2.9687216837951342,3,3.8181301912829646,3,2.0953015342906913,3,2.6357406633200413,3.0
ECSC_1053_1_65M_1053_YR1,1053,65,5-6y,M,276,304,0.2736445941438492,3,2.236469437295519,3,1.577407104664057,3,1.6501293236213002,3,2.5656896452218647,3.0
ECSC_1053_2_65M_1053_YR2,1053,65,5-6y,M,352,436,0.9427167867432308,3,1.5870040819640885,3,1.7281378703425168,3,2.048309856304812,3,0.7649405949670299,3.0
ECSC_1053_3_65M_1053_YR3,1053,65,5-6y,M,257,307,0.1931935823730615,3,-0.3890264907626239,3,0.6759289788203566,3,0.9268850886898395,3,0.8299420308485556,3.0
ECSC_1097_2_65M_1097_YR2,1097,65,5-6y,M,182,233,1.3622808479765487,3,0.32272512432004524,3,1.62005756971083,3,2.5085643323864155,3,1.840610136369011,2.0
ECSC_1097_3_65M_1097_YR3,1097,65,5-6y,M,349,377,-0.18195594853638083,3,0.10470537016438593,3,-0.2600590601175689,3,-0.5146104433626509,3,-0.5469067578942511,3.0
ECSC_2003_2_65M_2003_YR2,2003,65,5-6y,M,317,367,-0.02917882168651076,3,0.6310214270099435,3,-0.6703809127485861,3,-0.1292470360191903,3,0.8017370026951111,3.0
ECSC_4005_1_65M_4005_YR1,4005,65,5-6y,M,332,389,-0.9486378443779883,3,-0.8196871238168502,3,-1.1660270281124323,3,-1.6101086781579872,3,-0.5392865693659297,3.0
ECSC_2008_1_66F_2008_YR1,2008,66,5-6y,F,423,534,-0.1612830215067955,3,1.3181296600771863,3,1.9757322576768817,3,1.9914488419483332,3,2.0404024165949965,3.0
ECSC_2008_2_66F_2008_YR2,2008,66,5-6y,F,351,396,-0.42460999987548526,3,0.8707403494872619,3,2.625354700739211,3,2.0273806465255495,3,1.8303531616296305,3.0
ECSC_4076_1_66F_4076_YR1,4076,66,5-6y,F,276,330,-1.4047532387098995,3,-0.8397360934428311,3,-0.789402904862308,3,-0.05506533687386458,3,-0.22911614805475158,3.0
ECSC_1036_1_66M_1036_YR1,1036,66,5-6y,M,365,402,1.534475952663353,3,1.74092559311657,3,1.1158780028643198,3,0.8675815430795989,3,1.2389256094539223,3.0
ECSC_1036_2_66M_1036_YR2,1036,66,5-6y,M,330,435,-0.16836743023198655,3,-0.44918055536946094,3,1.4680546126462437,3,0.8021300409605198,3,0.9405224365619146,3.0
ECSC_1036_3_66M_1036_YR3,1036,66,5-6y,M,394,438,1.0758601060279707,3,0.27949453424785875,3,2.1585608593885603,3,3.8142737934056012,3,1.6738298609268478,3.0
ECSC_2001_1_66M_2001_YR1,2001,66,5-6y,M,281,321,-0.06144988258164504,3,2.1571811171345665,3,2.0858245186958095,3,2.4420606603848807,3,1.8015232788713542,3.0
ECSC_2001_2_66M_2001_YR2,2001,66,5-6y,M,373,445,2.1091031572637386,3,2.683104836456099,3,2.5031943116373503,3,3.208106422382885,3,2.8266775321717668,3.0
ECSC_2011_1_66M_2011_YR1,2011,66,5-6y,M,309,341,-0.9585700993657013,3,-0.3287759100814496,3,0.5093861968452965,3,-0.2459179297177442,3,-0.26847464010411565,3.0
ECSC_2016_1_66M_2016_YR1,2016,66,5-6y,M,196,232,-0.542712645008799,3,0.18437575870545944,3,-0.12787516688859424,3,-0.052360762678724214,3,1.0046015388027645,3.0
ECSC_2022_1_66M_2022_YR1,2022,66,5-6y,M,253,298,-0.6619854436773746,3,1.3209742354627625,3,1.8032502728767732,3,0.45176085503233393,3,0.8694346571089843,3.0
ECSC_1057_1_67F_1057_YR1,1057,67,5-6y,F,486,528,-0.07441718913925366,3,-0.4605017095525623,3,0.5178059583606597,3,0.9648172110195806,3,0.6273159318948665,3.0
ECSC_1057_2_67F_1057_YR2,1057,67,5-6y,F,303,336,0.6775258673278323,3,0.7574325605633373,3,0.42002230241714084,3,0.16015244534605402,3,0.43424032108820193,3.0
ECSC_1057_3_67F_1057_YR3,1057,67,5-6y,F,471,538,0.1420524463323299,3,1.5488512085086201,3,0.4499913982006376,3,1.7758667733188986,3,1.5381977761325392,3.0
ECSC_2013_1_67F_2013_YR1,2013,67,5-6y,F,273,325,-1.0837470161359595,3,1.4176414944302553,3,1.744483188658494,3,1.4222082165085494,3,0.7174267593910754,3.0
ECSC_1028_1_67M_1028_YR1,1028,67,5-6y,M,419,507,0.1974883194403263,3,-0.12793924245504598,3,-0.6592557357975734,3,-0.6436760381881333,3,-0.5653097748623217,3.0
ECSC_1028_2_67M_1028_YR2,1028,67,5-6y,M,228,261,-0.4586753314820638,3,-0.0968418118317832,3,0.04615680276821673,3,-0.23835881861076055,3,-0.09300733496876072,3.0
ECSC_1028_3_67M_1028_YR3,1028,67,5-6y,M,241,272,-0.31873281703648026,3,0.3929240159266952,3,0.6651232959431835,3,0.1882753532665592,3,0.0511028952722799,3.0
ECSC_4034_1_67M_4034_YR1,4034,67,5-6y,M,234,285,-0.8121285070631541,3,1.6023549516541653,3,0.6576755099188613,3,0.6268230919017493,3,1.6304752454057467,3.0
