doc_id,child_id,narrative_idx,age_months,age_group,word_count,n_tokens,baseline_nll,max_ctx_used,half_life,early_slope,early_drop_pct,late_benefit_pct,total_benefit,ppl_min_ctx,ppl_max_ctx
PetMcc_35_N1,35,1,70,5yo,57,73,2.725515265213816,32,12.308164334681578,1.7208577664653664,100.0,,41.30058639516879,100.675310676975,59.37472428180621
PetMcc_35_N4,35,4,70,5yo,65,82,4.577949925472862,48,18.87019335691434,0.43036059385507625,80.21315842194582,,12.876508612452259,32.36296582465478,19.48645721220252
PetMcc_35_N8,35,8,70,5yo,67,74,3.7831131784539473,32,18.07011365889893,0.3048120130589908,100.0,,7.315488313415779,21.93112665395168,14.6156383405359
PetMcc_35_N9,35,9,70,5yo,87,106,3.44218605443051,64,13.412993982532768,1.8030790091808397,88.78356618419691,,48.74088536898929,62.818811810568754,14.077926441579462
PetMcc_35_N10,35,10,70,5yo,45,54,3.5026983963815788,24,12.942585862535418,,,,9.167054069483157,29.063761920158008,19.89670785067485
PetMcc_35_N11,35,11,70,5yo,163,194,4.999383223684211,96,20.618064895746585,5.208302431137322,71.30629048693226,10.661927270148889,175.29906196733566,209.96849647832892,34.66943451099324
PetMcc_35_N12,35,12,70,5yo,66,83,4.083554719623766,48,16.731876548964284,2.517156586149454,81.68239122436741,,73.95934076127404,125.01981803212108,51.06047727084705
PetMcc_35_N13,35,13,70,5yo,103,121,3.0431486430921053,64,14.83112294885667,0.23044977857854335,87.81997861444009,,6.29787751391643,12.066391880052736,5.768514366136306
PetMcc_35_N14,35,14,70,5yo,68,95,4.373008326480263,64,15.771492595042979,3.50309529088401,92.27681900722301,,91.11095060031846,139.81973495838628,48.708784358067824
PetMcc_36_N5,36,5,72,6yo,99,112,3.966678418611225,64,25.367654938331434,0.5176272061640089,79.9732837271538,,15.53400381847537,33.048054148634606,17.514050330159236
PetMcc_36_N6,36,6,72,6yo,65,78,4.087928771972656,48,20.89559584862039,0.19001851761984537,66.96947723461602,,6.809735735131332,14.084584413151116,7.274848678019785
PetMcc_36_N9,36,9,72,6yo,50,59,2.290155109606291,24,16.6026378441852,,,,7.980563162161215,14.590900573468199,6.6103374113069835
PetMcc_36_N11,36,11,72,6yo,57,72,3.3614120483398438,32,17.591550715118053,1.2675718755382548,100.0,,30.421725012918117,108.45896535366523,78.03724034074712
PetMcc_37_N1,37,1,74,6yo,56,64,5.2041015625,32,14.103740282915847,2.2173184913778643,99.99999999999999,,53.21564379306874,100.2085487777996,46.99290498473086
PetMcc_37_N2,37,2,74,6yo,58,67,4.708635832134046,32,16.178002272252463,0.3811537915018546,100.0,,9.14769099604451,43.302656993909544,34.154965997865034
PetMcc_37_N4,37,4,74,6yo,102,115,3.517552425986842,64,17.85285396228551,1.22588004997975,74.51521634129693,,39.483373523011,54.59223245934132,15.108858936330318
PetMcc_37_N6,37,6,74,6yo,93,107,2.000322040758635,64,14.059484547635314,0.09854833617468017,68.30330541704883,,3.4627314941071194,9.460932409539845,5.998200915432726
PetMcc_37_N7,37,7,74,6yo,54,58,2.305933902138158,24,14.784152598694487,,,,10.85133148996029,22.451456410147202,11.600124920186913
PetMcc_37_N8,37,8,74,6yo,61,73,3.3585140830592106,32,13.293951062263256,1.148194265451426,100.0,,27.556662370834225,68.24095886839137,40.68429649755715
PetMcc_37_N11,37,11,74,6yo,60,75,3.4186669399863794,32,22.68088285850087,0.861906020414475,100.00000000000001,,20.6857444899474,32.999340770233545,12.313596280286145
PetMcc_37_N13,37,13,74,6yo,79,87,3.2283903423108553,48,19.23495471341297,0.4268685591878376,78.01183969801592,,13.132423822032568,29.151411874032775,16.018988052000207
PetMcc_38_N1,38,1,66,5yo,59,69,4.025493421052632,32,13.879100683573725,0.3475642474290819,100.0,,8.341541938297965,18.603423660815544,10.261881722517579
PetMcc_38_N2,38,2,66,5yo,92,109,3.5842111989071497,64,12.531194368133635,0.5760998967653638,100.0,,13.82639752236873,42.93962632903807,29.11322880666934
PetMcc_38_N3,38,3,66,5yo,176,214,3.537674753289474,96,26.99171836655615,0.09663779913667751,54.363106189633676,5.000891011883092,4.266325715807831,12.215290090218517,7.948964374410686
PetMcc_38_N4,38,4,66,5yo,93,106,3.01220703125,64,20.693371445079794,0.5046181611145042,65.40999225080931,,18.51526876858521,31.401998183606175,12.886729415020968
PetMcc_38_N5,38,5,66,5yo,96,107,2.241282111720035,64,17.558571517197027,0.5212425469139436,77.8121154923955,,16.07695799911418,34.37307445364101,18.296116454526828
PetMcc_38_N6,38,6,66,5yo,83,103,3.187107286955181,64,36.567290595650604,0.19451097766332057,35.338791728981676,,13.2100256842998,31.722188408728837,18.512162724429036
PetMcc_38_N7,38,7,66,5yo,119,140,3.550973992598684,96,17.202169618790304,0.8864747704191102,90.31548213360405,9.684517866395945,23.556752383368632,86.57263759474311,63.01588521137448
PetMcc_38_N8,38,8,66,5yo,167,183,3.800704152960526,96,15.235223913889445,0.5704614753967053,81.08584113534388,0.0,16.88466841784198,25.647006491872062,8.762338074030083
PetMcc_38_N9,38,9,66,5yo,44,59,4.32142814837004,24,14.30978637315009,,,,28.769265502380172,71.76912267757868,42.99985717519851
PetMcc_39_N1,39,1,78,6yo,70,84,3.1035220497532894,48,30.271818850079207,0.2822071896342277,59.09774119935786,,11.460628466955786,38.77981794418219,27.319189477226406
PetMcc_39_N3,39,3,78,6yo,87,99,3.0558568176470304,64,21.183003933283462,0.3128555039524929,73.21501713054613,,10.255453579245541,22.78520133051695,12.52974775127141
PetMcc_39_N5,39,5,78,6yo,125,142,2.2144775390625,96,18.163222310543382,1.2140406714499283,70.31117331713848,13.116564814933412,41.44003682512305,62.35658785677098,20.916551031647927
PetMcc_39_N6,39,6,78,6yo,74,87,2.931685598273026,48,14.03748872316553,0.4633838866961959,98.20087261109876,,11.324963806331567,49.8985177161245,38.573553909792935
PetMcc_39_N7,39,7,78,6yo,140,164,3.7000320836117395,96,12.5171845805142,1.091618314475394,94.17800927387842,3.4667033519988997,27.818425712546965,42.109378499260266,14.290952786713301
PetMcc_39_N9,39,9,78,6yo,181,201,3.25634765625,96,27.425962062360412,0.6305960758103927,55.8242472917673,11.965821349525942,27.110631228665685,50.82898673520442,23.71835550653873
PetMcc_40_N2,40,2,68,5yo,74,84,2.8883377878289473,48,21.34373879645307,0.24825447477257168,100.0,,5.95810739454172,46.45533170912279,40.49722431458107
PetMcc_40_N4,40,4,68,5yo,135,159,3.765162417763158,96,14.455326717486676,0.7479204012513708,93.65081742541396,6.349182574586027,19.167039993354926,34.443096339932566,15.276056346577642
PetMcc_40_N5,40,5,68,5yo,118,124,3.2517989309210527,64,12.408065665528817,0.6251658365332695,91.62720774946244,,16.375027074735335,28.157061743812278,11.78203466907694
PetMcc_40_N6,40,6,68,5yo,51,56,4.6562050267269735,24,15.228587337031342,,,,43.00626369273045,100.3714997680543,57.36523607532386
PetMcc_40_N7,40,7,68,5yo,43,55,2.7956932469418176,24,12.442015381538024,,,,74.76175223351427,123.87582317439008,49.1140709408758
PetMcc_40_N8,40,8,68,5yo,53,72,4.073769017269737,32,13.575690596873446,2.3603342054537033,100.0,,56.648020930888876,83.91796321739614,27.269942286507256
PetMcc_40_N9,40,9,68,5yo,106,120,3.1571395271702816,64,25.50624136799096,0.2595898353496627,77.91616710453857,,7.99597346726903,16.621356646169918,8.625383178900888
PetMcc_40_N10,40,10,68,5yo,71,88,4.199889333624589,48,11.999999999999995,0.4586608319651777,100.0,,11.007859967164265,79.18211115830978,68.17425119114552
PetMcc_40_N16,40,16,68,5yo,238,258,4.417814555921052,96,13.931716936210623,0.6508939461973672,72.50654013740284,8.472274674881325,21.544890542471784,50.96539224831391,29.420501705842128
PetMcc_40_N17,40,17,68,5yo,72,75,3.8935418379934212,32,14.185091195343443,3.6764426308207425,100.0,,88.23462313969782,119.99279711260985,31.758173972912036
PetMcc_40_N19,40,19,68,5yo,116,138,2.0817437422902962,96,14.730772302430324,0.9797890760968736,94.84300144898555,3.6205328077669563,24.793540342534666,32.03010426215166,7.236563919616995
PetMcc_40_N20,40,20,68,5yo,71,80,3.6718637566817436,48,21.970178860438125,0.5002500881131824,84.65844996379474,,14.181693758686695,26.31235164402939,12.130657885342696
PetMcc_40_N21,40,21,68,5yo,91,98,4.684184827302632,64,16.721766137196063,0.6178212793395234,70.45277425229422,,21.04631203173055,31.08238619618581,10.036074164455258
PetMcc_41_N1,41,1,77,6yo,57,76,3.0646185623972038,32,13.027534156710438,0.9500181866381899,100.0,,22.80043647931656,53.108563326934274,30.308126847617714
PetMcc_41_N2,41,2,77,6yo,72,84,2.990860788445724,48,14.699152913275487,0.7903222630059519,100.0,,18.967734312142845,54.04207614549223,35.074341833349386
PetMcc_41_N3,41,3,77,6yo,238,266,4.633454975328948,96,17.269797367486387,0.9106595870168454,88.93106151757549,0.0,24.57614889043567,42.02074349130351,17.44459460086784
PetMcc_41_N4,41,4,77,6yo,164,187,3.7445871453536186,96,12.683809860609536,2.6679695433756723,100.0,0.0,64.03126904101613,90.89436542872319,26.86309638770706
PetMcc_41_N5,41,5,77,6yo,131,146,2.4119551809210527,96,12.716067986388708,0.7311419977331521,93.54763983494603,3.9011782216193063,18.75772384696826,26.39834247725413,7.640618630285867
PetMcc_42_N7,42,7,83,6yo,55,70,2.6158383018092106,32,22.56896029798554,1.5025440534460064,100.0,,36.061057282704155,91.43435808442891,55.37330080172475
PetMcc_42_N8,42,8,83,6yo,53,63,2.7631297864412008,32,12.834436959032065,0.2651553443863344,100.0,,6.363728265272027,19.647755066956016,13.28402680168399
PetMcc_42_N9,42,9,83,6yo,59,71,3.05592511829577,32,18.006609534877192,0.448819740427633,100.0,,10.771673770263192,22.441340706411957,11.669666936148765
PetMcc_42_N10,42,10,83,6yo,64,78,3.968557257401316,48,,0.0,,,0.0,13.164240825124482,13.164240825124482
PetMcc_44_N2,44,2,68,5yo,56,59,3.3095831620065788,24,12.0,,,,14.233180155396486,41.71761062002655,27.484430464630062
PetMcc_44_N3,44,3,68,5yo,83,95,3.3445466694078947,64,14.40315667277661,1.096931613236747,85.00817855192447,,30.96920692354481,72.88766228665007,41.91845536310526
PetMcc_45_N1,45,1,78,6yo,66,76,3.3885562294407894,32,17.426530328203675,0.6134841396151626,100.0,,14.723619350763903,29.479556304713483,14.75593695394958
PetMcc_45_N2,45,2,78,6yo,79,91,3.170888800370066,48,18.292324386588824,0.14745080399929947,89.1547770069761,,3.9692985780294023,10.433449124396317,6.464150546366914
PetMcc_45_N3,45,3,78,6yo,76,81,2.7656523052014803,48,20.344079429614574,0.16089448931189754,86.85603541263242,,4.445825468708794,24.014840688929162,19.56901522022037
PetMcc_45_N4,45,4,78,6yo,136,144,3.0193778590152136,96,36.055420966772246,0.14240019728061823,46.30906686379783,39.128960245324365,7.379990499023753,13.944923354846871,6.564932855823118
PetMcc_45_N5,45,5,78,6yo,55,67,3.2386410361842106,32,14.255371726540623,0.9172461878035351,100.0,,22.013908507284842,45.688027087652365,23.674118580367523
PetMcc_45_N6,45,6,78,6yo,76,86,3.319382516961349,48,18.990520711723498,0.6693895619304578,100.0,,16.065349486330987,30.41869779174418,14.353348305413192
