doc_id,score,grade,ell,token_count,n_curves,alpha,intercept,r,p,benefit_at_1,benefit_total,benefit_short,benefit_long,ppl_drop_intact
220E202448F4,2,8.0,non_ELL,207,3,-0.9351176264827644,2.3559960247122564,-0.8288031851499299,0.010988299346141345,10.548630327454195,38.728774433441195,5.113240120848566,25.83760252948247,48.030401889547846
22715C8105CB,2,10.0,non_ELL,262,3,-1.062528485427764,2.7136677477746085,-0.9194062656192253,0.00016732079960618502,15.084500320118618,50.00567539328948,18.63611195802561,13.414027200453397,58.572353950788674
22E583DA7364,5,11.0,non_ELL,725,3,-1.272654197692301,1.9789667251850978,-0.8262503682363479,0.006046927268015354,7.235263106294356,17.181981332527908,7.1385017749911555,1.2190867736772724,12.772332864157777
22FBB7ED7597,4,10.0,non_ELL,504,3,-0.9196145890950614,1.812617247365676,-0.6931469637753283,0.03842414223605841,6.12646093117867,32.60509317362147,11.441791146025245,18.720405851937493,25.042447395262222
233B42867340,3,8.0,non_ELL,488,3,-0.9212976802512983,1.2676857472369243,-0.7822481418389795,0.012726165922856336,3.5526213776688276,11.877988634328517,-3.700826631242034,9.180631571474635,12.56824216444221
237E08ECC729,5,9.0,non_ELL,600,3,-0.9178889308880476,2.3718242783042243,-0.6584034030723148,0.07586470030101675,10.71692511601037,34.75644263671357,3.4881073754843115,11.579996734730226,46.48559674772372
242180B4B196,5,,UNK,829,3,-1.1771084165732995,2.01508206765187,-0.8316578891619142,0.010471526571788906,7.501342973546217,13.152049859956453,3.9290132993609426,3.2508256173235335,13.345016859749915
25664FBAC604,3,10.0,non_ELL,408,3,-1.1535986176982371,1.7594412024029595,-0.8270754983420071,0.005952101089859266,5.809190325665245,19.632734245736422,6.699253738287823,7.382650826280761,20.69816407194407
25C32F08C197,6,10.0,non_ELL,1231,3,-0.7732214109170493,2.0013761807137955,-0.7689237181785731,0.015447614975070755,7.399231775606194,49.01325871296941,17.581788268518885,18.396832808566785,43.166679451812755
26453BA910DE,5,11.0,non_ELL,826,3,-0.43340222922913446,0.7067665670831504,-0.41494447316412025,0.266768849526059,2.027425105686825,26.834294833900625,5.154083232976994,22.475961319814953,35.858960068408464
26C3EB3BF873,5,9.0,non_ELL,710,3,-1.154368198481811,1.809973467927332,-0.8677311420056305,0.025085550998089023,6.110285311546012,6.823913877089119,8.044694805160994,-2.5772338173650624,10.498419643282766
26E218908B4C,6,11.0,non_ELL,647,3,-1.4082180486243152,1.5305404173296147,-0.8214020710665803,0.012402399203592148,4.6206732395786,5.951758270088477,-0.30047085589943023,3.262642995188661,11.429594993784196
27323553A085,6,11.0,non_ELL,880,3,-1.6610446555013942,2.623152645116667,-0.9164758170307508,0.003700580181550441,13.779095779607315,10.923185993065909,5.405857277799873,-2.2326790781292436,12.085719545076262
276B92955757,4,8.0,non_ELL,398,3,-0.6518916814064646,-0.0348133907288084,-0.6369101915718544,0.17381748463437263,0.9657856239942472,6.043745271262392,0.763495421755394,3.1373823579762288,20.804366991059325
27B51EEF47E7,6,11.0,non_ELL,894,3,-0.7742724263176265,0.9736640221435721,-0.6016305791269794,0.08653850260295927,2.647627675192223,16.086571653883798,3.904707961895962,6.588187578795051,15.219977267079582
2865585E0E34,3,9.0,non_ELL,464,3,-1.0400077949936886,1.990244228194489,-0.9389119628965334,0.0005441208115279415,7.3173206401061455,9.091335677311125,-0.6686733539011485,9.096670941942268,22.79473584182266
28823EC65BA2,6,10.0,non_ELL,883,3,-1.0440654942391732,1.7179491088380514,-0.8712600500257636,0.00047762472594068447,5.573086940875032,25.68997391315782,9.263327723717754,11.626081128974075,18.529042522819132
29502FC048A0,5,11.0,non_ELL,1136,3,-0.8243241402535126,1.5698934234512467,-0.721513642321783,0.0672038972410705,4.806135945096948,18.919666728647634,9.821759662355792,11.400512096296149,24.00100825872172
2983A5DC1E8E,4,10.0,non_ELL,610,3,-0.9876576237875841,2.7899667100659524,-0.9209880384192451,0.0032288736095344725,16.280477816734372,33.48948401558227,12.43103872688721,13.056277420683248,57.58224609653692
29B80B7D1092,4,10.0,non_ELL,469,3,-1.1653490738400796,2.3573537077490063,-0.7697989623991118,0.042948647843685385,10.562961750474258,21.03236314936591,3.49519379105525,5.080201532529816,18.364689147668468
29F3D2561639,4,,UNK,404,3,-0.9161518174880476,1.4992497228815092,-0.8913444829403684,0.0070440713310613015,4.478327822667683,10.660537886549097,4.908862501900963,8.051265303910036,10.349139640970755
2A6678ABADEB,5,10.0,non_ELL,648,3,-0.4525319747585265,1.3306437927246648,-0.4105793428770219,0.41873777350560704,3.78347837952429,21.865447681069877,-8.073628741648875,18.251041605072903,51.898387025248326
2AA5F0CAEC6A,3,10.0,ELL,813,3,-1.089277620723401,2.1389082414319405,-0.8347211478246463,0.005121156583035272,8.490163358584327,26.867831877919016,12.329903261319117,15.567043503978278,44.50331672907696
2B3601A69135,2,10.0,ELL,277,3,-1.065305901913267,2.8544886979994306,-0.8429287513102668,0.0021931440099997868,17.36555589386346,57.29106046250712,6.481884797683065,24.595921943010527,73.47669454813197
2B688160509C,4,10.0,non_ELL,460,3,-0.5256017385075337,0.792544435417328,-0.5790949166824156,0.07939056829993382,2.2090099647758548,32.01588088736879,2.4996457092028805,16.28457797978033,19.073297747302057
2B7A8D15B50C,2,8.0,non_ELL,255,3,-0.8924109860619299,1.7873058487448257,-0.5725271026912072,0.10715460810688648,5.973337693068733,44.8863910285261,0.894315043429998,42.33068463329045,70.88984920308505
