doc_id,score,grade,ell,token_count,alpha,r,p,n_curves
591E36982F38,4,8.0,non_ELL,660,-0.3433226906483373,-0.4245706771439523,0.2546895792365079,3
5A07C7A99A35,2,10.0,ELL,267,-1.4369961955198884,-0.7992998828420569,0.031006768206293223,3
5A1AFAFE56BA,3,10.0,non_ELL,880,-1.6796263336055803,-0.917914780617566,0.0012989938110320113,3
5A39C21B332E,6,11.0,non_ELL,1228,-1.007317129723504,-0.75404462628701,0.011752269580281399,3
5A510998E08B,3,9.0,non_ELL,578,-1.354873158458176,-0.9396579944443221,0.0005247280873195682,3
5A91E373F462,5,8.0,non_ELL,629,-0.6330210495201634,-0.5252286450767657,0.11899839029613161,3
5AD3EAC6A195,6,11.0,non_ELL,1123,-0.5718003939840051,-0.7233159565020557,0.02763747449434153,3
5EF4174A5264,2,8.0,non_ELL,290,-1.1857511299616958,-0.9216981034342745,0.00040945530634833155,3
5F67460F0E7F,4,10.0,non_ELL,668,-1.2968451638912646,-0.9225476013698138,0.003074531165039235,3
5FCEA1E5F5C6,3,10.0,non_ELL,1046,-0.8412074295894658,-0.8855344945706914,0.0006527382370543532,3
60E5A59113F8,4,10.0,non_ELL,703,-1.2213721129577577,-0.7810357196467914,0.0076480507737527815,3
60FFF26260C1,6,11.0,non_ELL,870,-0.5276191002060212,-0.38246483219027333,0.2753744018289722,3
6115AB81F5D6,3,8.0,ELL,251,-1.252626995985628,-0.9504022285465009,8.521669552144943e-05,3
611BBDDA35CA,5,10.0,non_ELL,619,-1.096678854764237,-0.8028266867159316,0.02972267210083667,3
6198205BB70E,6,11.0,non_ELL,765,-1.2341570062424139,-0.7381632576819209,0.05817361773233196,3
626D81DA387E,6,11.0,non_ELL,818,-1.032499203114619,-0.8428896323392024,0.00432497531526356,3
626DA66E75D9,6,11.0,non_ELL,970,-2.145906852711492,-0.9803988466832037,0.00010223090985412946,3
629220E7D759,6,9.0,non_ELL,1078,-1.0106793832332224,-0.7927043228990763,0.0334899243295721,3
62BF23872BFE,3,10.0,non_ELL,403,-1.5158604453962585,-0.8158909415280121,0.007326431933207468,3
64C09A835374,6,11.0,non_ELL,884,-1.1398488192515874,-0.9285917796889214,0.0008622442709288054,3
64C8461FF6A9,5,10.0,non_ELL,714,-1.3541712234986947,-0.872548470089621,0.002143712880999156,3
64E208B0CC5E,2,8.0,non_ELL,241,-0.7597450330560841,-0.9292045798252602,0.0073405742538723995,3
658428760D94,5,11.0,non_ELL,664,-0.46178126582531587,-0.25357360761800724,0.5832253859256847,3
665D11F129DF,2,10.0,non_ELL,424,-1.287376280810501,-0.933334574448938,0.0021257697784977294,3
66ABB3042298,6,10.0,non_ELL,997,-0.9332269534751325,-0.9315203244089585,0.0007621642034182085,3
66CBBA95F7C0,6,11.0,non_ELL,1005,-1.2311612451340541,-0.8187826671129897,0.024290388519567937,3
67569429BA4F,2,9.0,non_ELL,439,-1.2884116561234682,-0.9850606597115744,5.19753888236047e-05,3
676DC820EDFD,6,8.0,non_ELL,915,-1.2661313762175117,-0.8646336752724851,0.012022282993640363,3
67B9393299B6,3,9.0,non_ELL,502,-0.6769968581615936,-0.6678889116195613,0.04929652371066322,3
67BC1B7863C7,3,10.0,UNK,551,-0.8909727636706319,-0.7643104161127338,0.016473470216986082,3
68BD4DA6AB9A,2,9.0,non_ELL,331,-0.591261724399804,-0.6313326542121598,0.09318604864081363,3
6A54F4DE3EAF,5,,UNK,938,-0.9712040216915689,-0.8068386717733768,0.02829878251900716,3
6A5ED1FDE763,4,10.0,non_ELL,602,-1.1335203795823023,-0.9306339242404407,0.0023441703205972736,3
6A62CD23AF8B,4,8.0,non_ELL,468,-1.4646870677750294,-0.9161824804753859,0.0037325530503790187,3
6AF2D4E39173,3,10.0,non_ELL,418,-0.9200747276532133,-0.8956091093902312,0.0026259723530515627,3
6B50C4376457,4,10.0,non_ELL,454,-0.9551807916447774,-0.979866336989977,0.00060396584432773,3
6BC10E78A82B,3,8.0,non_ELL,923,-0.7840338820850878,-0.6999113064119821,0.03580314718015627,3
6BFE834C4FD5,6,11.0,non_ELL,988,-1.0209022037838424,-0.4350942095285349,0.24182466691236887,3
6D7E6399624E,2,10.0,non_ELL,903,0.10657243020817198,0.07632421285844937,0.8708050653963311,3
6E381D4CCEDA,3,10.0,non_ELL,460,-0.5864810949703168,-0.35738594659787287,0.3847737781297577,3
6F896BABB13C,4,9.0,non_ELL,579,-0.5132165318400446,-0.7420463818263933,0.056168725810075794,3
6F9355028831,3,10.0,non_ELL,369,-0.9973354916031829,-0.7911969161153918,0.0064083536953376775,3
700AAF27F8DE,2,10.0,non_ELL,286,-2.1929119623052125,-0.7904101174354948,0.011229401885679698,3
716C24478063,3,10.0,non_ELL,349,-1.0014601046083198,-0.9358565175943822,0.0019330632103510125,3
71B477D6D77E,4,8.0,non_ELL,418,-0.49633430246819105,-0.5694636595949507,0.08573313835256013,3
72279B65EB03,5,11.0,non_ELL,754,0.001967884915443939,0.0014077027741014904,0.9973605607854851,3
72ECF408E30D,6,8.0,non_ELL,1201,-0.7186496819083577,-0.770633765476338,0.04258098384029023,3
746E16C22DE4,4,9.0,non_ELL,482,-0.994456502769538,-0.9091399538310965,0.0006805203519315952,3
75AADDF98A77,6,,UNK,1061,-0.9776063850483885,-0.8108575986463525,0.014607429099620477,3
7614540E8571,6,8.0,non_ELL,935,-1.321113446695836,-0.9405503296479435,0.0005021347840337938,3
