doc_id,age_months,age_group,token_count,baseline_nll,tail_share_lag33_128,tail_share_lag49_128,tail_share_lag65_128,gini,top1_share,top3_share,effective_support,n_positive_bins
ECSC_1053_1_65M_1053_YR1,65,5yr,304,2.6821139737963677,0.11497916260438665,0.0701345823530046,0.03207317346294718,0.4465501442733011,0.26477950706499964,0.58637455260028,7.809761298357791,11
ECSC_1053_2_65M_1053_YR2,65,5yr,436,2.6727236330509188,0.19900355224409436,0.10499630061638546,0.0685283517372391,0.3096813402050267,0.20236321136572152,0.4830209379328538,9.436231180352024,11
ECSC_1053_3_65M_1053_YR3,65,5yr,307,2.521883237361908,0.2131462079271126,0.10812094816745117,0.09417218346937671,0.3444452342168791,0.217999063848861,0.498830477367827,9.038368940305899,11
ECSC_1097_1_65M_1097_YR1,65,5yr,181,2.5129450798034667,0.26439936658687296,0.1520619966962289,0.16600575291469613,0.44691691395905475,0.2459695708281843,0.5578798219375971,7.685814851433528,10
ECSC_1097_2_65M_1097_YR2,65,5yr,233,3.214680480957031,0.21196183748408487,0.1653607820458379,0.13835172666727877,0.342446758717434,0.23150932275297897,0.5128274122974218,9.099463549414825,11
ECSC_1097_3_65M_1097_YR3,65,5yr,377,2.5697245717048647,0.13035540592626108,0.053233894037405645,0.030626345148105603,0.42635397055238466,0.24974156508557516,0.5518914818160134,8.045985645634305,11
ECSC_2003_1_65M_2003_YR1,65,5yr,156,1.8819684982299805,0.1643568341120709,0.0738547042100566,0.0025005208623397218,0.3621978764470162,0.19209597668701378,0.4926276420003277,8.412106340255116,10
ECSC_2003_2_65M_2003_YR2,65,5yr,367,2.4990806221961974,0.2004868263628003,0.09806231549775736,0.07772269593087534,0.3238238153426314,0.16814428036088408,0.4582541304181968,9.042227905431057,11
ECSC_4005_1_65M_4005_YR1,65,5yr,389,2.5536895513534548,0.16820311036245889,0.09784012945535474,0.07078128822113451,0.30392394612653484,0.15732002136391607,0.4545313206084004,9.34508029470311,11
ECSC_2008_1_66F_2008_YR1,66,5yr,534,1.8149653784930704,0.16385513899666862,0.06121067747352508,0.03884185794364565,0.39412303839395246,0.19398630501628986,0.5223649830980099,8.43532001660049,11
ECSC_2008_2_66F_2008_YR2,66,5yr,396,2.7675106048583986,0.1869955798888714,0.09786887725989976,0.06006810381268029,0.3426586442991062,0.22904204474436976,0.5041924387598189,8.974280629344687,11
ECSC_4076_1_66F_4076_YR1,66,5yr,330,2.9918804287910463,0.28074818016004516,0.21935261694038455,0.146464791700662,0.3130850475737239,0.2123648817078752,0.47144081930540477,9.222392810813965,11
ECSC_1036_1_66M_1036_YR1,66,5yr,402,2.7304131403565406,0.3329496996078405,0.26315443857681037,0.15501500240221983,0.199187460877414,0.14556654859803245,0.37918395885515904,10.276156169326214,11
ECSC_1036_2_66M_1036_YR2,66,5yr,435,2.542992132902145,0.1598315262374466,0.07862211284422715,0.06845125633408532,0.4301153213683222,0.35485719949008265,0.5512296238555843,7.533077813555068,11
ECSC_1036_3_66M_1036_YR3,66,5yr,438,2.3454828023910523,0.15727264988816056,0.09813431735764502,0.06868406408285295,0.36152302872304176,0.2536083834132359,0.5364909432905891,8.868137895903715,11
ECSC_2001_1_66M_2001_YR1,66,5yr,321,2.5420976877212524,0.06280950191313704,0.03442188203592584,0.025929360443626093,0.4415640035025916,0.1879010006055103,0.5428872010849384,7.526241366916273,10
ECSC_2001_2_66M_2001_YR2,66,5yr,445,2.307063286006451,0.17587895273841936,0.09930100120347381,0.05307632552640481,0.3648795006899874,0.19387395216092018,0.5137394536200373,8.83577363821288,11
ECSC_2011_1_66M_2011_YR1,66,5yr,341,3.2329505383968353,0.1304084159768786,0.0834824009173438,0.056138769170638134,0.3615655660314889,0.18283955992787634,0.5165265092850612,8.879189046575716,11
ECSC_2016_1_66M_2016_YR1,66,5yr,232,3.299695587158203,0.17050934106286295,0.14028228208333934,0.11621617953357932,0.3123646326628431,0.24222144767177356,0.4697466651358148,9.255160015163714,11
ECSC_2022_1_66M_2022_YR1,66,5yr,298,3.088785934448242,0.18465460455788896,0.12702760263982332,0.09198644558132497,0.2578504951832119,0.1490359911794795,0.427496070999936,9.83289289435873,11
ECSC_1057_1_67F_1057_YR1,67,5yr,528,2.1401549100875856,0.18104010109893748,0.14056672939077808,0.10154952983687088,0.3684303288646844,0.25540931612195544,0.5299922939954398,8.742900185414612,11
ECSC_1057_2_67F_1057_YR2,67,5yr,336,2.4739735066890716,0.1278529626875172,0.06939458401567353,0.06017932375690395,0.4057550211712644,0.22028809773903063,0.5729820716897241,8.366248748549376,11
ECSC_1057_3_67F_1057_YR3,67,5yr,538,2.058535861968994,0.2043908465144692,0.09453473803869888,0.06456390471396335,0.29611847457171225,0.19199853132007114,0.45657661821613515,9.509971246586087,11
ECSC_2013_1_67F_2013_YR1,67,5yr,325,3.284470172971487,0.19392305760664044,0.12705015858531046,0.0599844602629876,0.27614244555794887,0.1566324749576952,0.4401079873683239,9.671174857972122,11
ECSC_1028_1_67M_1028_YR1,67,5yr,507,3.1597504138946535,0.2658857958984822,0.21242570721293513,0.1478930576451971,0.22240556162470448,0.17675403323828695,0.4250425441008956,10.159487951013377,11
ECSC_1028_2_67M_1028_YR2,67,5yr,261,3.078755569458008,0.2341068165083284,0.13254930138394475,0.10247188109847817,0.2898770983919796,0.2060529123867224,0.45385673148408023,9.437406781314731,11
ECSC_1028_3_67M_1028_YR3,67,5yr,272,2.9049506306648256,0.13378373109600988,0.08595850385616359,0.0480149449633915,0.36907682417589194,0.21076063054378824,0.5319489052321613,8.816646358229839,11
ECSC_4034_1_67M_4034_YR1,67,5yr,285,2.8513429671525956,0.17612405990699587,0.14486970351558726,0.1047768769091482,0.4371714828374309,0.2435730056616227,0.5842054048855222,7.964911288868321,11
ECSC_2014_1_68F_2014_YR1,68,5yr,401,2.4650428891181946,0.1378175456535301,0.09338475954238085,0.05926091535306236,0.37002346538258735,0.25446355043717284,0.5214218395673255,8.779808360137741,11
ECSC_2014_2_68F_2014_YR2,68,5yr,347,2.84978249669075,0.06934104579304985,0.05306514779818141,0.0035455835288686756,0.41337009965020344,0.17912665651196907,0.5241052679180428,7.874163227484333,11
ECSC_2019_1_68F_2019_YR1,68,5yr,685,2.700168418884277,0.1570283610673041,0.10145835795647631,0.06532840255962502,0.410828752823833,0.26866097434683084,0.5789468822373435,8.324086106387817,11
ECSC_4055_1_68F_4055_YR1,68,5yr,355,2.6482026040554048,0.1569803162115058,0.09359461858111229,0.05247366363356286,0.31609950302446643,0.19261026897671799,0.46098771331882377,9.313190823853201,11
ECSC_1061_1_68M_1061_YR1,68,5yr,112,2.583423614501953,0.3794259613290438,-0.013071700023909468,0.0,0.6763600838428656,0.3862220840217573,0.8207227987450573,4.594339295426648,7
ECSC_1061_2_68M_1061_YR2,68,5yr,385,2.40842604637146,0.19424406014715442,0.136749347896715,0.10583253915093603,0.334385484575183,0.21012978400963747,0.48838385501987597,9.14732904716698,11
ECSC_1061_3_68M_1061_YR3,68,5yr,199,2.600651168823242,0.08324034727856364,0.041764020538055786,0.0031964835863271535,0.48787832164654676,0.2719762650297319,0.633193100603541,7.230433275183643,10
